generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	5714	0	10	0.188679	none	
ConcentrationScaler	839	868	3	0.0566038	1.88198	
TimeSizeRateMixer	8327	15437	6	0.113208	0.0198142	
TimeRootSizeMixer	10767	13776	6	0.113208	0.0303881	
EventTimeScaler	36936	56299	1	0.0188679	0.059405	
MutationRateScaler0	2272	5055	1	0.0188679	0.0399243	
RootPopulationSizeScaler0	3310	4061	1	0.0188679	0.0572078	
LeafPopulationSizeScaler0	2917	4410	1	0.0188679	0.0458459	
MutationRateScaler1	173	7182	1	0.0188679	0.018919	
RootPopulationSizeScaler1	2695	4634	1	0.0188679	0.0667744	
LeafPopulationSizeScaler1	583	6728	1	0.0188679	0.00524157	
MutationRateScaler2	2176	5145	1	0.0188679	0.0461505	
RootPopulationSizeScaler2	2475	4886	1	0.0188679	0.0723767	
LeafPopulationSizeScaler2	3017	4311	1	0.0188679	0.0549959	
MutationRateScaler3	2579	4776	1	0.0188679	0.0483073	
RootPopulationSizeScaler3	2840	4517	1	0.0188679	0.0734439	
LeafPopulationSizeScaler3	2949	4377	1	0.0188679	0.0665602	
MutationRateScaler4	1657	5673	1	0.0188679	0.0322613	
RootPopulationSizeScaler4	2518	4845	1	0.0188679	0.0518133	
LeafPopulationSizeScaler4	2265	5042	1	0.0188679	0.0320498	
MutationRateScaler5	2504	4812	1	0.0188679	0.0397763	
RootPopulationSizeScaler5	2686	4623	1	0.0188679	0.0592973	
LeafPopulationSizeScaler5	3090	4329	1	0.0188679	0.0510976	
MutationRateScaler6	321	7028	1	0.0188679	0.0130403	
RootPopulationSizeScaler6	2647	4697	1	0.0188679	0.0445962	
LeafPopulationSizeScaler6	542	6778	1	0.0188679	0.0081068	
MutationRateScaler7	22	7327	1	0.0188679	0.0106384	
RootPopulationSizeScaler7	1982	5338	1	0.0188679	0.0687588	
LeafPopulationSizeScaler7	61	7274	1	0.0188679	0.00449844	
MutationRateScaler8	1460	5855	1	0.0188679	0.0281294	
RootPopulationSizeScaler8	2555	4760	1	0.0188679	0.0519647	
LeafPopulationSizeScaler8	1800	5512	1	0.0188679	0.0240094	
generation 40000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	7658	0	10	0.188679	none	
ConcentrationScaler	1121	1155	3	0.0566038	1.90569	
TimeSizeRateMixer	10520	20120	6	0.113208	0.0192287	
TimeRootSizeMixer	13725	17622	6	0.113208	0.0303623	
EventTimeScaler	47158	73107	1	0.0188679	0.0584987	
MutationRateScaler0	3091	6617	1	0.0188679	0.0388707	
RootPopulationSizeScaler0	4329	5409	1	0.0188679	0.0570948	
LeafPopulationSizeScaler0	3883	5808	1	0.0188679	0.0454736	
MutationRateScaler1	249	9507	1	0.0188679	0.0168522	
RootPopulationSizeScaler1	3611	6091	1	0.0188679	0.0658641	
LeafPopulationSizeScaler1	871	8805	1	0.0188679	0.00478691	
MutationRateScaler2	2987	6733	1	0.0188679	0.0448594	
RootPopulationSizeScaler2	3359	6372	1	0.0188679	0.0709048	
LeafPopulationSizeScaler2	4053	5642	1	0.0188679	0.0548632	
MutationRateScaler3	3480	6258	1	0.0188679	0.04756	
RootPopulationSizeScaler3	3827	5909	1	0.0188679	0.0730647	
LeafPopulationSizeScaler3	3971	5728	1	0.0188679	0.0663062	
MutationRateScaler4	2347	7375	1	0.0188679	0.0309023	
RootPopulationSizeScaler4	3378	6372	1	0.0188679	0.0505913	
LeafPopulationSizeScaler4	3087	6612	1	0.0188679	0.0312382	
MutationRateScaler5	3381	6314	1	0.0188679	0.0390909	
RootPopulationSizeScaler5	3580	6087	1	0.0188679	0.0584968	
LeafPopulationSizeScaler5	4099	5689	1	0.0188679	0.0508699	
MutationRateScaler6	455	9271	1	0.0188679	0.0117105	
RootPopulationSizeScaler6	3554	6169	1	0.0188679	0.0439372	
LeafPopulationSizeScaler6	747	8950	1	0.0188679	0.00734401	
MutationRateScaler7	28	9682	1	0.0188679	0.00941476	
RootPopulationSizeScaler7	2760	6952	1	0.0188679	0.0665085	
LeafPopulationSizeScaler7	73	9656	1	0.0188679	0.00397697	
MutationRateScaler8	2065	7622	1	0.0188679	0.0267186	
RootPopulationSizeScaler8	3441	6254	1	0.0188679	0.0510018	
LeafPopulationSizeScaler8	2533	7182	1	0.0188679	0.0230722	
generation 50000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	9585	0	10	0.188679	none	
ConcentrationScaler	1373	1450	3	0.0566038	1.91904	
TimeSizeRateMixer	12556	24779	6	0.113208	0.0187147	
TimeRootSizeMixer	16799	21472	6	0.113208	0.0303698	
EventTimeScaler	57313	89688	1	0.0188679	0.057773	
MutationRateScaler0	3951	8179	1	0.0188679	0.0381584	
RootPopulationSizeScaler0	5402	6753	1	0.0188679	0.0570657	
LeafPopulationSizeScaler0	4890	7222	1	0.0188679	0.0452537	
MutationRateScaler1	342	11831	1	0.0188679	0.0154131	
RootPopulationSizeScaler1	4607	7516	1	0.0188679	0.065392	
LeafPopulationSizeScaler1	1188	10888	1	0.0188679	0.00446869	
MutationRateScaler2	3790	8328	1	0.0188679	0.0438621	
RootPopulationSizeScaler2	4296	7850	1	0.0188679	0.0700408	
LeafPopulationSizeScaler2	5097	7002	1	0.0188679	0.0548003	
MutationRateScaler3	4349	7787	1	0.0188679	0.0467253	
RootPopulationSizeScaler3	4803	7333	1	0.0188679	0.0724112	
LeafPopulationSizeScaler3	4938	7171	1	0.0188679	0.0658826	
MutationRateScaler4	3022	9100	1	0.0188679	0.0298537	
RootPopulationSizeScaler4	4264	7863	1	0.0188679	0.0498634	
LeafPopulationSizeScaler4	3973	8126	1	0.0188679	0.0307216	
MutationRateScaler5	4318	7799	1	0.0188679	0.0386	
RootPopulationSizeScaler5	4513	7565	1	0.0188679	0.0578276	
LeafPopulationSizeScaler5	5134	7099	1	0.0188679	0.0507117	
MutationRateScaler6	614	11535	1	0.0188679	0.0107755	
RootPopulationSizeScaler6	4492	7653	1	0.0188679	0.0434663	
LeafPopulationSizeScaler6	975	11136	1	0.0188679	0.00680326	
MutationRateScaler7	38	12082	1	0.0188679	0.00854675	
RootPopulationSizeScaler7	3583	8560	1	0.0188679	0.0650117	
LeafPopulationSizeScaler7	95	12031	1	0.0188679	0.0036158	
MutationRateScaler8	2712	9390	1	0.0188679	0.0256969	
RootPopulationSizeScaler8	4382	7733	1	0.0188679	0.0503977	
LeafPopulationSizeScaler8	3215	8900	1	0.0188679	0.0223178	
generation 60000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	11412	0	10	0.188679	none	
ConcentrationScaler	1637	1751	3	0.0566038	1.92528	
TimeSizeRateMixer	14851	29550	6	0.113208	0.0183318	
TimeRootSizeMixer	19988	25560	6	0.113208	0.0303852	
EventTimeScaler	67714	106228	1	0.0188679	0.0572636	
MutationRateScaler0	4812	9757	1	0.0188679	0.0375693	
RootPopulationSizeScaler0	6497	8130	1	0.0188679	0.0570721	
LeafPopulationSizeScaler0	5915	8669	1	0.0188679	0.0451001	
MutationRateScaler1	453	14199	1	0.0188679	0.0143178	
RootPopulationSizeScaler1	5615	9010	1	0.0188679	0.0649641	
LeafPopulationSizeScaler1	1536	13018	1	0.0188679	0.00422718	
MutationRateScaler2	4646	9939	1	0.0188679	0.0432263	
RootPopulationSizeScaler2	5210	9412	1	0.0188679	0.0692123	
LeafPopulationSizeScaler2	6110	8461	1	0.0188679	0.0545244	
MutationRateScaler3	5281	9318	1	0.0188679	0.0461803	
RootPopulationSizeScaler3	5794	8816	1	0.0188679	0.071838	
LeafPopulationSizeScaler3	5945	8631	1	0.0188679	0.0656585	
MutationRateScaler4	3788	10818	1	0.0188679	0.0291048	
RootPopulationSizeScaler4	5192	9402	1	0.0188679	0.049332	
LeafPopulationSizeScaler4	4878	9711	1	0.0188679	0.0302617	
MutationRateScaler5	5266	9304	1	0.0188679	0.0382424	
RootPopulationSizeScaler5	5533	9010	1	0.0188679	0.0575658	
LeafPopulationSizeScaler5	6157	8564	1	0.0188679	0.0504554	
MutationRateScaler6	786	13830	1	0.0188679	0.0100643	
RootPopulationSizeScaler6	5425	9198	1	0.0188679	0.0429597	
LeafPopulationSizeScaler6	1226	13374	1	0.0188679	0.00639059	
MutationRateScaler7	47	14537	1	0.0188679	0.00788302	
RootPopulationSizeScaler7	4408	10227	1	0.0188679	0.0637499	
LeafPopulationSizeScaler7	119	14488	1	0.0188679	0.00333675	
MutationRateScaler8	3371	11198	1	0.0188679	0.0248742	
RootPopulationSizeScaler8	5338	9241	1	0.0188679	0.0499961	
LeafPopulationSizeScaler8	3992	10599	1	0.0188679	0.0217797	
generation 70000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	13323	0	10	0.188679	none	
ConcentrationScaler	1902	2069	3	0.0566038	1.93105	
TimeSizeRateMixer	17249	34438	6	0.113208	0.0180248	
TimeRootSizeMixer	23291	29854	6	0.113208	0.0303595	
EventTimeScaler	78964	123267	1	0.0188679	0.0568886	
MutationRateScaler0	5776	11333	1	0.0188679	0.0372046	
RootPopulationSizeScaler0	7621	9507	1	0.0188679	0.0571286	
LeafPopulationSizeScaler0	6945	10160	1	0.0188679	0.0449353	
MutationRateScaler1	562	16588	1	0.0188679	0.013452	
RootPopulationSizeScaler1	6626	10523	1	0.0188679	0.0646199	
LeafPopulationSizeScaler1	1887	15170	1	0.0188679	0.00402928	
MutationRateScaler2	5591	11537	1	0.0188679	0.0427692	
RootPopulationSizeScaler2	6180	10960	1	0.0188679	0.0686291	
LeafPopulationSizeScaler2	7164	9916	1	0.0188679	0.0543917	
MutationRateScaler3	6281	10828	1	0.0188679	0.0458546	
RootPopulationSizeScaler3	6823	10297	1	0.0188679	0.0715243	
LeafPopulationSizeScaler3	6994	10093	1	0.0188679	0.0654643	
MutationRateScaler4	4540	12579	1	0.0188679	0.0284458	
RootPopulationSizeScaler4	6157	10919	1	0.0188679	0.0488979	
LeafPopulationSizeScaler4	5723	11368	1	0.0188679	0.0298322	
MutationRateScaler5	6272	10814	1	0.0188679	0.038005	
RootPopulationSizeScaler5	6524	10544	1	0.0188679	0.0571345	
LeafPopulationSizeScaler5	7229	9986	1	0.0188679	0.0503909	
MutationRateScaler6	941	16175	1	0.0188679	0.00948843	
RootPopulationSizeScaler6	6387	10734	1	0.0188679	0.0426126	
LeafPopulationSizeScaler6	1523	15594	1	0.0188679	0.00606895	
MutationRateScaler7	56	17035	1	0.0188679	0.00735456	
RootPopulationSizeScaler7	5313	11820	1	0.0188679	0.0629518	
LeafPopulationSizeScaler7	144	16967	1	0.0188679	0.0031171	
MutationRateScaler8	4077	13029	1	0.0188679	0.0242518	
RootPopulationSizeScaler8	6275	10832	1	0.0188679	0.0495465	
LeafPopulationSizeScaler8	4794	12286	1	0.0188679	0.0213935	
generation 80000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	15193	0	10	0.188679	none	
ConcentrationScaler	2162	2349	3	0.0566038	1.94133	
TimeSizeRateMixer	19432	39229	6	0.113208	0.0177378	
TimeRootSizeMixer	26457	33750	6	0.113208	0.0303772	
EventTimeScaler	89064	139706	1	0.0188679	0.0564959	
MutationRateScaler0	6654	12975	1	0.0188679	0.0367425	
RootPopulationSizeScaler0	8718	10879	1	0.0188679	0.0571825	
LeafPopulationSizeScaler0	8019	11617	1	0.0188679	0.0447958	
MutationRateScaler1	693	18955	1	0.0188679	0.012758	
RootPopulationSizeScaler1	7639	12023	1	0.0188679	0.064308	
LeafPopulationSizeScaler1	2271	17308	1	0.0188679	0.00387081	
MutationRateScaler2	6547	13100	1	0.0188679	0.0424339	
RootPopulationSizeScaler2	7165	12477	1	0.0188679	0.0682244	
LeafPopulationSizeScaler2	8219	11364	1	0.0188679	0.0542743	
MutationRateScaler3	7200	12413	1	0.0188679	0.0454578	
RootPopulationSizeScaler3	7825	11818	1	0.0188679	0.0711601	
LeafPopulationSizeScaler3	8053	11547	1	0.0188679	0.0653015	
MutationRateScaler4	5281	14359	1	0.0188679	0.027879	
RootPopulationSizeScaler4	7139	12468	1	0.0188679	0.0485099	
LeafPopulationSizeScaler4	6687	12900	1	0.0188679	0.0296204	
MutationRateScaler5	7265	12331	1	0.0188679	0.0377586	
RootPopulationSizeScaler5	7546	12016	1	0.0188679	0.0568927	
LeafPopulationSizeScaler5	8285	11424	1	0.0188679	0.0502899	
MutationRateScaler6	1154	18439	1	0.0188679	0.00904207	
RootPopulationSizeScaler6	7384	12222	1	0.0188679	0.0423758	
LeafPopulationSizeScaler6	1824	17827	1	0.0188679	0.00580698	
MutationRateScaler7	63	19547	1	0.0188679	0.00692498	
RootPopulationSizeScaler7	6187	13452	1	0.0188679	0.0622059	
LeafPopulationSizeScaler7	160	19453	1	0.0188679	0.00293793	
MutationRateScaler8	4784	14812	1	0.0188679	0.023727	
RootPopulationSizeScaler8	7290	12316	1	0.0188679	0.0493157	
LeafPopulationSizeScaler8	5579	13994	1	0.0188679	0.0210285	
generation 90000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	17101	0	10	0.188679	none	
ConcentrationScaler	2420	2648	3	0.0566038	1.94375	
TimeSizeRateMixer	22033	44110	6	0.113208	0.0175424	
TimeRootSizeMixer	29636	37845	6	0.113208	0.030366	
EventTimeScaler	100613	156609	1	0.0188679	0.056259	
MutationRateScaler0	7543	14526	1	0.0188679	0.0364376	
RootPopulationSizeScaler0	9739	12286	1	0.0188679	0.0570596	
LeafPopulationSizeScaler0	9018	13053	1	0.0188679	0.0446648	
MutationRateScaler1	784	21312	1	0.0188679	0.0121739	
RootPopulationSizeScaler1	8615	13497	1	0.0188679	0.064016	
LeafPopulationSizeScaler1	2619	19434	1	0.0188679	0.00373627	
MutationRateScaler2	7487	14598	1	0.0188679	0.0421432	
RootPopulationSizeScaler2	8184	13916	1	0.0188679	0.067987	
LeafPopulationSizeScaler2	9224	12792	1	0.0188679	0.0540785	
MutationRateScaler3	8214	13837	1	0.0188679	0.0452364	
RootPopulationSizeScaler3	8816	13276	1	0.0188679	0.0708858	
LeafPopulationSizeScaler3	9068	12979	1	0.0188679	0.0651352	
MutationRateScaler4	6081	15988	1	0.0188679	0.027512	
RootPopulationSizeScaler4	8113	13921	1	0.0188679	0.0482592	
LeafPopulationSizeScaler4	7635	14372	1	0.0188679	0.0294494	
MutationRateScaler5	8210	13821	1	0.0188679	0.0375311	
RootPopulationSizeScaler5	8514	13483	1	0.0188679	0.0566302	
LeafPopulationSizeScaler5	9287	12843	1	0.0188679	0.0501408	
MutationRateScaler6	1353	20677	1	0.0188679	0.00866633	
RootPopulationSizeScaler6	8353	13674	1	0.0188679	0.042169	
LeafPopulationSizeScaler6	2163	19906	1	0.0188679	0.00560561	
MutationRateScaler7	73	21950	1	0.0188679	0.00658315	
RootPopulationSizeScaler7	7060	15056	1	0.0188679	0.0615481	
LeafPopulationSizeScaler7	173	21892	1	0.0188679	0.00279137	
MutationRateScaler8	5510	16531	1	0.0188679	0.0233188	
RootPopulationSizeScaler8	8286	13787	1	0.0188679	0.0490944	
LeafPopulationSizeScaler8	6414	15600	1	0.0188679	0.0207969	
generation 100000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	19026	0	10	0.188679	none	
ConcentrationScaler	2660	2951	3	0.0566038	1.94261	
TimeSizeRateMixer	25065	49132	6	0.113208	0.0174246	
TimeRootSizeMixer	33171	42496	6	0.113208	0.0303565	
EventTimeScaler	114029	174686	1	0.0188679	0.0561691	
MutationRateScaler0	8432	16068	1	0.0188679	0.036145	
RootPopulationSizeScaler0	10819	13643	1	0.0188679	0.0571012	
LeafPopulationSizeScaler0	10034	14474	1	0.0188679	0.0445834	
MutationRateScaler1	904	23633	1	0.0188679	0.0116826	
RootPopulationSizeScaler1	9617	14920	1	0.0188679	0.0638194	
LeafPopulationSizeScaler1	2974	21505	1	0.0188679	0.0036248	
MutationRateScaler2	8409	16096	1	0.0188679	0.0418942	
RootPopulationSizeScaler2	9128	15403	1	0.0188679	0.0676291	
LeafPopulationSizeScaler2	10261	14193	1	0.0188679	0.0540121	
MutationRateScaler3	9182	15306	1	0.0188679	0.0450455	
RootPopulationSizeScaler3	9819	14720	1	0.0188679	0.0707331	
LeafPopulationSizeScaler3	10082	14427	1	0.0188679	0.0649279	
MutationRateScaler4	6801	17696	1	0.0188679	0.0271112	
RootPopulationSizeScaler4	9079	15401	1	0.0188679	0.0480468	
LeafPopulationSizeScaler4	8537	15886	1	0.0188679	0.0292482	
MutationRateScaler5	9184	15271	1	0.0188679	0.0373947	
RootPopulationSizeScaler5	9505	14940	1	0.0188679	0.0564195	
LeafPopulationSizeScaler5	10302	14289	1	0.0188679	0.0500186	
MutationRateScaler6	1565	22912	1	0.0188679	0.00834768	
RootPopulationSizeScaler6	9325	15151	1	0.0188679	0.0419502	
LeafPopulationSizeScaler6	2481	22010	1	0.0188679	0.00542857	
MutationRateScaler7	89	24371	1	0.0188679	0.00628983	
RootPopulationSizeScaler7	7953	16602	1	0.0188679	0.0610287	
LeafPopulationSizeScaler7	196	24326	1	0.0188679	0.00266749	
MutationRateScaler8	6193	18292	1	0.0188679	0.0229353	
RootPopulationSizeScaler8	9276	15251	1	0.0188679	0.0488927	
LeafPopulationSizeScaler8	7225	17225	1	0.0188679	0.0205707	
generation 110000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	20980	0	10	0.188679	none	
ConcentrationScaler	2912	3248	3	0.0566038	1.94566	
TimeSizeRateMixer	28058	53940	6	0.113208	0.0173258	
TimeRootSizeMixer	36429	46611	6	0.113208	0.0303473	
EventTimeScaler	126992	192063	1	0.0188679	0.0560918	
MutationRateScaler0	9300	17545	1	0.0188679	0.0359166	
RootPopulationSizeScaler0	11919	14924	1	0.0188679	0.0571851	
LeafPopulationSizeScaler0	11047	15794	1	0.0188679	0.0445702	
MutationRateScaler1	1033	25844	1	0.0188679	0.011276	
RootPopulationSizeScaler1	10575	16329	1	0.0188679	0.0635985	
LeafPopulationSizeScaler1	3375	23467	1	0.0188679	0.00353634	
MutationRateScaler2	9312	17568	1	0.0188679	0.0416727	
RootPopulationSizeScaler2	10027	16831	1	0.0188679	0.067334	
LeafPopulationSizeScaler2	11268	15518	1	0.0188679	0.0539153	
MutationRateScaler3	10123	16733	1	0.0188679	0.0449143	
RootPopulationSizeScaler3	10823	16079	1	0.0188679	0.070549	
LeafPopulationSizeScaler3	11075	15783	1	0.0188679	0.0647951	
MutationRateScaler4	7557	19293	1	0.0188679	0.0268336	
RootPopulationSizeScaler4	9992	16809	1	0.0188679	0.0478427	
LeafPopulationSizeScaler4	9399	17361	1	0.0188679	0.0290471	
MutationRateScaler5	10112	16681	1	0.0188679	0.03723	
RootPopulationSizeScaler5	10472	16315	1	0.0188679	0.0563134	
LeafPopulationSizeScaler5	11277	15645	1	0.0188679	0.0499218	
MutationRateScaler6	1819	25008	1	0.0188679	0.00809404	
RootPopulationSizeScaler6	10273	16550	1	0.0188679	0.041791	
LeafPopulationSizeScaler6	2803	24026	1	0.0188679	0.00528031	
MutationRateScaler7	99	26723	1	0.0188679	0.00604236	
RootPopulationSizeScaler7	8807	18102	1	0.0188679	0.0606179	
LeafPopulationSizeScaler7	217	26651	1	0.0188679	0.0025646	
MutationRateScaler8	6957	19906	1	0.0188679	0.0226667	
RootPopulationSizeScaler8	10205	16676	1	0.0188679	0.0487068	
LeafPopulationSizeScaler8	8013	18774	1	0.0188679	0.02038	
generation 120000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	22869	0	10	0.188679	none	
ConcentrationScaler	3155	3581	3	0.0566038	1.94263	
TimeSizeRateMixer	30799	58838	6	0.113208	0.0172019	
TimeRootSizeMixer	39625	50712	6	0.113208	0.0303462	
EventTimeScaler	138907	208966	1	0.0188679	0.0559628	
MutationRateScaler0	10200	19064	1	0.0188679	0.0356814	
RootPopulationSizeScaler0	12952	16305	1	0.0188679	0.0571719	
LeafPopulationSizeScaler0	12017	17239	1	0.0188679	0.0443902	
MutationRateScaler1	1179	28124	1	0.0188679	0.0109102	
RootPopulationSizeScaler1	11568	17731	1	0.0188679	0.0634645	
LeafPopulationSizeScaler1	3814	25439	1	0.0188679	0.0034573	
MutationRateScaler2	10176	19109	1	0.0188679	0.0414516	
RootPopulationSizeScaler2	10951	18316	1	0.0188679	0.0670209	
LeafPopulationSizeScaler2	12274	16952	1	0.0188679	0.0538279	
MutationRateScaler3	11097	18192	1	0.0188679	0.0447498	
RootPopulationSizeScaler3	11799	17535	1	0.0188679	0.070343	
LeafPopulationSizeScaler3	12119	17151	1	0.0188679	0.0646772	
MutationRateScaler4	8323	20939	1	0.0188679	0.0265646	
RootPopulationSizeScaler4	10902	18308	1	0.0188679	0.0476294	
LeafPopulationSizeScaler4	10370	18839	1	0.0188679	0.0289033	
MutationRateScaler5	11029	18195	1	0.0188679	0.037053	
RootPopulationSizeScaler5	11424	17774	1	0.0188679	0.0561129	
LeafPopulationSizeScaler5	12299	17047	1	0.0188679	0.0498517	
MutationRateScaler6	2016	27221	1	0.0188679	0.00785234	
RootPopulationSizeScaler6	11255	17984	1	0.0188679	0.0416595	
LeafPopulationSizeScaler6	3128	26125	1	0.0188679	0.00514263	
MutationRateScaler7	113	29140	1	0.0188679	0.00581854	
RootPopulationSizeScaler7	9734	19598	1	0.0188679	0.0602848	
LeafPopulationSizeScaler7	245	29043	1	0.0188679	0.00247132	
MutationRateScaler8	7682	21578	1	0.0188679	0.0223874	
RootPopulationSizeScaler8	11164	18141	1	0.0188679	0.0484786	
LeafPopulationSizeScaler8	8828	20371	1	0.0188679	0.0201933	
generation 130000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	24718	0	10	0.188679	none	
ConcentrationScaler	3429	3871	3	0.0566038	1.94995	
TimeSizeRateMixer	32832	63333	6	0.113208	0.0170459	
TimeRootSizeMixer	42719	54576	6	0.113208	0.0303557	
EventTimeScaler	148905	224728	1	0.0188679	0.0557526	
MutationRateScaler0	11124	20547	1	0.0188679	0.0354945	
RootPopulationSizeScaler0	14012	17689	1	0.0188679	0.0571938	
LeafPopulationSizeScaler0	12973	18700	1	0.0188679	0.0442365	
MutationRateScaler1	1296	30440	1	0.0188679	0.0105782	
RootPopulationSizeScaler1	12547	19192	1	0.0188679	0.0633282	
LeafPopulationSizeScaler1	4195	27499	1	0.0188679	0.00338089	
MutationRateScaler2	11107	20611	1	0.0188679	0.0412673	
RootPopulationSizeScaler2	11908	19762	1	0.0188679	0.0667827	
LeafPopulationSizeScaler2	13327	18306	1	0.0188679	0.0538175	
MutationRateScaler3	12068	19659	1	0.0188679	0.0445968	
RootPopulationSizeScaler3	12787	19001	1	0.0188679	0.0701513	
LeafPopulationSizeScaler3	13146	18561	1	0.0188679	0.0645859	
MutationRateScaler4	9132	22580	1	0.0188679	0.0263241	
RootPopulationSizeScaler4	11826	19822	1	0.0188679	0.0474183	
LeafPopulationSizeScaler4	11221	20435	1	0.0188679	0.028694	
MutationRateScaler5	11993	19654	1	0.0188679	0.0369381	
