generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1923	0	10	0.188679	none	
ConcentrationScaler	286	262	3	0.0566038	1.76638	
TimeSizeRateMixer	2693	5217	6	0.113208	0.0217696	
TimeRootSizeMixer	3620	4784	6	0.113208	0.0303797	
EventTimeScaler	12199	19434	1	0.0188679	0.0620078	
MutationRateScaler0	672	1772	1	0.0188679	0.045549	
RootPopulationSizeScaler0	1108	1342	1	0.0188679	0.0571516	
LeafPopulationSizeScaler0	908	1515	1	0.0188679	0.0478828	
MutationRateScaler1	47	2414	1	0.0188679	0.0298611	
RootPopulationSizeScaler1	813	1623	1	0.0188679	0.071128	
LeafPopulationSizeScaler1	133	2287	1	0.0188679	0.00778067	
MutationRateScaler2	624	1804	1	0.0188679	0.0531427	
RootPopulationSizeScaler2	727	1725	1	0.0188679	0.0799391	
LeafPopulationSizeScaler2	953	1483	1	0.0188679	0.0561878	
MutationRateScaler3	752	1713	1	0.0188679	0.0520037	
RootPopulationSizeScaler3	914	1526	1	0.0188679	0.0776832	
LeafPopulationSizeScaler3	918	1507	1	0.0188679	0.0686274	
MutationRateScaler4	445	1967	1	0.0188679	0.0403316	
RootPopulationSizeScaler4	718	1738	1	0.0188679	0.0565548	
LeafPopulationSizeScaler4	629	1791	1	0.0188679	0.0361693	
MutationRateScaler5	708	1722	1	0.0188679	0.0433043	
RootPopulationSizeScaler5	813	1612	1	0.0188679	0.0630958	
LeafPopulationSizeScaler5	981	1486	1	0.0188679	0.0520648	
MutationRateScaler6	77	2351	1	0.0188679	0.0202009	
RootPopulationSizeScaler6	796	1659	1	0.0188679	0.047939	
LeafPopulationSizeScaler6	131	2292	1	0.0188679	0.0120946	
MutationRateScaler7	11	2430	1	0.0188679	0.0172856	
RootPopulationSizeScaler7	545	1878	1	0.0188679	0.0812962	
LeafPopulationSizeScaler7	29	2407	1	0.0188679	0.00727512	
MutationRateScaler8	393	2043	1	0.0188679	0.036201	
RootPopulationSizeScaler8	787	1671	1	0.0188679	0.0564972	
LeafPopulationSizeScaler8	498	1930	1	0.0188679	0.0291387	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3832	0	10	0.188679	none	
ConcentrationScaler	579	555	3	0.0566038	1.87056	
TimeSizeRateMixer	5526	10475	6	0.113208	0.0204304	
TimeRootSizeMixer	7163	9198	6	0.113208	0.0303752	
EventTimeScaler	24562	38159	1	0.0188679	0.0602269	
MutationRateScaler0	1430	3440	1	0.0188679	0.041547	
RootPopulationSizeScaler0	2203	2698	1	0.0188679	0.0571383	
LeafPopulationSizeScaler0	1889	2990	1	0.0188679	0.0465319	
MutationRateScaler1	106	4796	1	0.0188679	0.0223596	
RootPopulationSizeScaler1	1712	3145	1	0.0188679	0.0679615	
LeafPopulationSizeScaler1	302	4542	1	0.0188679	0.00601658	
MutationRateScaler2	1377	3480	1	0.0188679	0.0484472	
RootPopulationSizeScaler2	1549	3363	1	0.0188679	0.0743891	
LeafPopulationSizeScaler2	1977	2887	1	0.0188679	0.0553139	
MutationRateScaler3	1650	3236	1	0.0188679	0.0496882	
RootPopulationSizeScaler3	1877	3018	1	0.0188679	0.0750995	
LeafPopulationSizeScaler3	1908	2959	1	0.0188679	0.0670442	
MutationRateScaler4	1044	3810	1	0.0188679	0.0349606	
RootPopulationSizeScaler4	1587	3304	1	0.0188679	0.0534094	
LeafPopulationSizeScaler4	1474	3406	1	0.0188679	0.0334719	
MutationRateScaler5	1576	3287	1	0.0188679	0.0408684	
RootPopulationSizeScaler5	1737	3130	1	0.0188679	0.0605427	
LeafPopulationSizeScaler5	2024	2924	1	0.0188679	0.0514374	
MutationRateScaler6	196	4678	1	0.0188679	0.0153157	
RootPopulationSizeScaler6	1666	3214	1	0.0188679	0.0453419	
LeafPopulationSizeScaler6	331	4533	1	0.0188679	0.00937165	
MutationRateScaler7	15	4872	1	0.0188679	0.0127225	
RootPopulationSizeScaler7	1235	3631	1	0.0188679	0.0727888	
LeafPopulationSizeScaler7	41	4835	1	0.0188679	0.00537021	
MutationRateScaler8	912	3955	1	0.0188679	0.0307827	
RootPopulationSizeScaler8	1676	3206	1	0.0188679	0.0536158	
LeafPopulationSizeScaler8	1108	3757	1	0.0188679	0.0256045	
generation 30000:
