generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_Att_bol	ln_likelihood_Att_bol	ln_prior_Att_bol	root_height_Att_bol	mutation_rate_Att_bol	freq_1_Att_bol	pop_size_Att_bol	pop_size_root_Att_bol	root_height_index_Cra_gut	ln_likelihood_Cra_gut	ln_prior_Cra_gut	root_height_Cra_gut	mutation_rate_Cra_gut	freq_1_Cra_gut	pop_size_Cra_gut	pop_size_root_Cra_gut	root_height_index_Cra_vul	ln_likelihood_Cra_vul	ln_prior_Cra_vul	root_height_Cra_vul	mutation_rate_Cra_vul	freq_1_Cra_vul	pop_size_Cra_vul	pop_size_root_Cra_vul	root_height_index_Fur_min	ln_likelihood_Fur_min	ln_prior_Fur_min	root_height_Fur_min	mutation_rate_Fur_min	freq_1_Fur_min	pop_size_Fur_min	pop_size_root_Fur_min	root_height_index_Kni_ore	ln_likelihood_Kni_ore	ln_prior_Kni_ore	root_height_Kni_ore	mutation_rate_Kni_ore	freq_1_Kni_ore	pop_size_Kni_ore	pop_size_root_Kni_ore	root_height_index_Maz_pro	ln_likelihood_Maz_pro	ln_prior_Maz_pro	root_height_Maz_pro	mutation_rate_Maz_pro	freq_1_Maz_pro	pop_size_Maz_pro	pop_size_root_Maz_pro	root_height_index_Myi_fla	ln_likelihood_Myi_fla	ln_prior_Myi_fla	root_height_Myi_fla	mutation_rate_Myi_fla	freq_1_Myi_fla	pop_size_Myi_fla	pop_size_root_Myi_fla	root_height_index_Nas_lon	ln_likelihood_Nas_lon	ln_prior_Nas_lon	root_height_Nas_lon	mutation_rate_Nas_lon	freq_1_Nas_lon	pop_size_Nas_lon	pop_size_root_Nas_lon	root_height_index_Sti_nap	ln_likelihood_Sti_nap	ln_prior_Sti_nap	root_height_Sti_nap	mutation_rate_Sti_nap	freq_1_Sti_nap	pop_size_Sti_nap	pop_size_root_Sti_nap
0	-15133360.4252290223	-78.0613416183989273	9	22.8170580128627094	0	-1095250.5050318318	5.21560859875577698	38279.1613606266619	2.50000000000000005e-09	0.5	500000	500000	1	-1535011.90458259964	5.21560859875577698	306016.788162454206	2.50000000000000005e-09	0.5	500000	500000	2	-1508685.43896042882	5.21560859875577698	45524.4001863803642	2.50000000000000005e-09	0.5	500000	500000	3	-1398684.45939310826	5.21560859875577698	217804.898396522651	2.50000000000000005e-09	0.5	500000	500000	4	-1316952.65794196469	5.21560859875577698	137016.696521943755	2.50000000000000005e-09	0.5	500000	500000	5	-1447944.38039020076	5.21560859875577698	146061.127137780888	2.50000000000000005e-09	0.5	500000	500000	6	-2168292.23529638816	5.21560859875577698	81188.4438498109084	2.50000000000000005e-09	0.5	500000	500000	7	-3190903.94973806292	5.21560859875577698	15509.4369735113942	2.50000000000000005e-09	0.5	500000	500000	8	-1471634.89389443817	5.21560859875577698	133923.553153644869	2.50000000000000005e-09	0.5	500000	500000
100	-15008846.1262705345	-37.9872581385821277	6	5.38640943553321527	0	-1089851.22142694541	5.93196000572692306	195062.117648455576	1.74068901724222357e-09	0.5	693020.341782725765	196574.244887045206	1	-1528202.37183715403	5.90284200216831145	257850.609345051169	2.15097466885268269e-09	0.5	997090.685827141046	311856.660295216541	2	-1488818.84155005543	5.87685505085491577	46904.0515124118829	1.57261366945487642e-09	0.5	419767.494027116394	142197.72789513896	3	-1383310.74900213513	5.79827314297882879	108624.555217187881	1.51893008302789483e-09	0.5	288864.214361417806	120553.278558172344	4	-1309328.74961864669	5.83736494664952943	119039.313989847389	1.94530420881217343e-09	0.5	519024.936498190742	196317.88751528904	5	-1432852.95374343148	5.96402759407868643	98112.5742996802292	1.50701458770236949e-09	0.5	553477.408720872831	139244.402552069805	0	-2162816.45652514696	5.71113145138843592	195062.117648455576	3.36876162199214626e-09	0.5	626812.787170652184	316212.726805223094	0	-3151972.99971540272	5.73331580360857096	195062.117648455576	3.12698585748310109e-09	0.5	953156.672574138502	459700.59582899115	3	-1461691.78285161569	5.86498684064821596	108624.555217187881	1.58891688495213789e-09	0.5	620222.944522266509	217463.659227045893
200	-14984991.5411200374	-47.6304042861152723	7	4.86983473536298828	0	-1089767.2813033408	5.99917300862021641	192390.371915259835	1.72518653872960072e-09	0.5	851219.679204311455	184234.233603587258	1	-1525281.44825271098	6.12523700950269046	207652.009648769978	3.47547340007924064e-09	0.5	999465.294634459657	90323.2670794208243	2	-1488096.68367286911	6.11075665495349973	32672.2450373202009	2.25241000018617197e-09	0.5	589766.481150764157	61838.1619380864868	3	-1383049.14525343804	6.03468499946807313	78875.4896944616339	1.94468540304155678e-09	0.5	422782.649406292941	76491.3586469781585	3	-1308967.59208117705	6.0206061769007011	78875.4896944616339	2.07848431304006909e-09	0.5	812136.249067030847	158368.535444368812	3	-1432734.03611792834	6.04731482546387511	78875.4896944616339	1.7752220619287491e-09	0.5	582426.134656825219	98018.6918652140303	4	-2159819.48217930552	5.94871261464900769	188103.538275681844	3.47264216669269292e-09	0.5	842774.536964905215	224933.139423375134	5	-3136524.46644320013	6.1193509280928815	260937.218528722646	3.43956785368277485e-09	0.5	996719.337181834038	95941.8817017892579	6	-1460751.40581606654	6.0619264281702705	69912.6407897548779	1.93129837222290409e-09	0.5	996892.341706327046	153204.578913497564
300	-14983285.5851020738	-48.2694767954471047	7	10.2823658515776675	0	-1089759.65984832193	6.00022146233992082	151637.924916566291	1.80569871554597151e-09	0.5	868381.865830220398	187038.283396629675	1	-1525277.79522421071	6.12727820644885846	202814.644415185496	3.47397128683186383e-09	0.5	999897.45423953596	88321.3343996676704	2	-1488046.79070632998	6.13740679021656277	31605.3542660952626	2.17630877206769677e-09	0.5	818055.309485027567	63973.4046868351652	3	-1383021.27103098459	6.07428450800092001	58111.4929478531994	2.0100809320424462e-09	0.5	550929.158098586253	77859.5623386211373	3	-1308904.53408023482	6.05058135765697003	58111.4929478531994	2.20439987586113133e-09	0.5	978958.852882507024	161554.878640452458	4	-1432659.66211278457	6.07052146695059136	52490.4826309602358	2.02239523296324593e-09	0.5	669410.079546439578	97122.7884428738616	5	-2158916.34081632085	6.05574984135442129	217310.277311844256	3.47670122339477224e-09	0.5	995432.120352175785	159128.5418368963	6	-3136064.8354831459	6.11917648681599502	255719.164173509227	3.47851620909638745e-09	0.5	998109.854200805072	96249.8411884913221	4	-1460634.69579974189	6.10542597835424772	52490.4826309602358	2.60007303814469881e-09	0.5	969648.784050176386	106838.443895804943
400	-14982955.7521457449	-59.3103269579396724	8	15.0734892255559387	0	-1089757.69522619876	6.0124266334489942	159667.287441814085	1.74648158309838568e-09	0.5	932558.379604133777	189479.044331277255	1	-1525273.6782643185	6.12432258289367759	200066.120723999717	3.48362095230000372e-09	0.5	999897.45423953596	91276.6548681829299	2	-1488039.44121842831	6.14223105872996733	32726.0790993211303	2.05760062326346148e-09	0.5	934962.897694474901	68605.2774482240056	3	-1383018.07953313715	6.08537861663514335	56553.5065751731599	2.067317192152668e-09	0.5	563304.875793168554	73359.183903010402	4	-1308883.34817638248	6.0692670498668928	48357.5299044894637	2.49317963054969096e-09	0.5	981006.488493022742	143562.008996114571	5	-1432639.77583846147	6.0927655843543409	40610.8042371999836	2.32208802592202595e-09	0.5	710378.258654498612	87265.0066583621665	6	-2158903.60026500328	6.05620311540288725	213711.967504353466	3.49333997781328619e-09	0.5	999733.055213548709	159362.930890177173	7	-3135855.68417536281	6.12054020950344402	255096.546410787705	3.49660324246017045e-09	0.5	998703.460746327648	94945.129353883749	5	-1460584.4494484507	6.11133146820935913	40610.8042371999836	2.91513453780036876e-09	0.5	975113.444255755865	101682.03192422491
500	-14982920.5947222225	-59.7575860132578782	8	19.6756801663996868	0	-1089757.6971115456	6.01376515518086308	148540.278999474132	1.86559678509456773e-09	0.5	876614.2502882767	176938.838965026836	1	-1525267.33977122512	6.12726802783972069	199760.277383592067	3.4993562537364032e-09	0.5	998757.579904669197	88230.8148155174422	2	-1488033.79875198565	6.14875204781306373	32974.0559031684024	2.08772575015862768e-09	0.5	992678.339533646242	66367.0499767590372	3	-1383014.13185788295	6.10529116166303965	48737.3036909198199	2.19631575835095946e-09	0.5	641397.162417991436	70757.2911165069818	4	-1308876.17479317193	6.0767812267160739	47423.2185109399434	2.60085211301068293e-09	0.5	984674.891100389767	136699.827444947121	5	-1432635.44180514221	6.10459194015536788	38322.168191549812	2.3235787406753108e-09	0.5	795871.633461194579	88355.0094217106962	6	-2158904.33052006178	6.05508823042396926	213217.375094044226	3.49333997781328619e-09	0.5	999733.055213548709	160477.51825636279	7	-3135855.84273897717	6.12080370098387938	256681.607969524834	3.49660324246017045e-09	0.5	998703.460746327648	94681.9795004963671	5	-1460575.83737222967	6.11359045071074192	38322.168191549812	2.96428227026580788e-09	0.5	998413.617896826705	101856.308280777681
600	-14982903.3326117285	-60.8554263303896477	8	28.5128958302546351	0	-1089758.28128048335	6.01053740458907804	150556.664853734808	1.87520055285489773e-09	0.5	866864.347930716467	177768.907010688505	1	-1525267.59365390427	6.12707446557438828	198636.963706029928	3.4993562537364032e-09	0.5	998757.579904669197	88424.1365952013439	2	-1488029.77309514582	6.1517554508649539	28212.5726394335725	2.34256606608618188e-09	0.5	964519.026316542877	61587.5760309025864	3	-1383014.81751193502	6.10987841658953634	52228.4239134299642	2.12898928654430746e-09	0.5	680096.602363302838	71906.7376585127495	4	-1308870.56575742853	6.08666995974123104	44622.7399018998694	2.73200982002638704e-09	0.5	982709.395088031888	126709.21194945935	5	-1432639.27762287157	6.1099318815569692	36041.0160914101798	2.20060709798008514e-09	0.5	901228.544425368775	95238.8740207332885	6	-2158902.17197116511	6.05960117764350059	217900.6369679911	3.49829026552015037e-09	0.5	999733.055213548709	155965.775744562416	7	-3135855.92594031664	6.11969175324397519	254302.180105703446	3.49776052376317958e-09	0.5	998373.026219858439	95760.7913190807885	5	-1460564.92577847932	6.12135925689573668	36041.0160914101798	3.08732593300063882e-09	0.5	998672.345367414062	94124.211284701465
700	-14982852.2275578994	-64.7561095897671635	8	57.0129419955161012	0	-1089757.6991761222	6.01233216736497056	150991.927255971153	1.84470110468954434e-09	0.5	883396.671476537827	179573.722880266461	1	-1525265.167676104	6.12683378598061168	200642.651299330959	3.4993562537364032e-09	0.5	999964.873220404028	88771.6944018833892	2	-1488029.60626434674	6.15246369768845724	27243.8638335931973	2.39512490367862129e-09	0.5	965105.496905592852	60941.4911216305045	3	-1383014.21483232896	6.12103998833266161	44591.7094610363056	2.24006040421652747e-09	0.5	760155.785631056293	71886.8763522205118	4	-1308867.06575550092	6.086598669683978	42487.1401589359884	2.76039630719048602e-09	0.5	998244.190129149938	128783.412164896319	5	-1432637.12943777186	6.10883526870777693	35656.379139275341	2.33591150278672735e-09	0.5	818647.479921726626	87409.7175666463445	6	-2158901.23221634887	6.05795025828508216	212470.989960616396	3.49829026552015037e-09	0.5	999733.055213548709	157616.254398664751	7	-3135819.08443310484	6.12000926122499322	251590.362711540452	3.49776052376317958e-09	0.5	999419.34814745246	95543.8275983434141	5	-1460561.02776626986	6.12227183390904095	35656.379139275341	3.23075023105660063e-09	0.5	983872.079443718656	91831.4369183069066
800	-14982833.0514186807	-73.8064541162181911	9	57.0129419955161012	0	-1089758.41380778421	6.01322526186221573	169438.040366733738	1.71718900481286812e-09	0.5	924783.051195575506	187160.679803569015	1	-1525265.47915939288	6.12777229400398937	199706.298185900087	3.49986955570705332e-09	0.5	999818.215200202074	87820.3374467140238	2	-1488028.57168254955	6.15507145297214109	28993.9366456056232	2.3362277259253256e-09	0.5	985731.604601349216	59673.3778512892604	3	-1383014.72834896832	6.12649263220676055	52393.1722186847692	1.95053887324889734e-09	0.5	896317.47839619033	79876.1984220536833	4	-1308861.50270746392	6.09460403613763901	39522.9600832685464	2.99919061871800957e-09	0.5	984795.062837928766	119164.695847204741	5	-1432634.99766361178	6.11195568909760745	38212.1745778802215	2.1794684144797007e-09	0.5	922922.137454281561	95663.5649350726453	6	-2158901.85982611123	6.05814731622479741	213062.042880352557	3.49658085513191062e-09	0.5	999733.055213548709	157419.249062540068	7	-3135818.25153818401	6.12067449747330627	253421.868651061261	3.49776052376317958e-09	0.5	999419.34814745246	94878.9776206912211	8	-1460549.24668461457	6.127130304866796	29730.7608202162992	3.48441146939181556e-09	0.5	994897.628463374684	88026.8447606325935
900	-14982839.3388599586	-70.054399046085237	9	22.5353631055010517	0	-1089759.00112227513	6.00812876491349357	163109.620634860912	1.71519423723253948e-09	0.5	914308.438986659283	189700.563001549308	1	-1525266.87182876491	6.12525958285322147	199674.939218235231	3.49702947186095846e-09	0.5	999818.215200202074	90332.5918247870723	2	-1488027.86338040885	6.15420752215814382	28872.1902695493118	2.30658119064283415e-09	0.5	996572.537657445646	61190.626719802247	3	-1383013.88984994148	6.1205417608413093	52603.8552482153318	1.94564846325738262e-09	0.5	853069.592408284545	81098.6286712400179	4	-1308862.3447347614	6.09582793222348052	36606.7047646410792	2.99288592563156639e-09	0.5	989725.061403214582	118549.927538594522	5	-1432636.02089785575	6.10828818122782202	41696.3499918348898	2.13825562317430058e-09	0.5	874166.477426785743	93815.9113463839603	6	-2158905.01974562928	6.06333841915994398	218610.063316938642	3.49658085513191062e-09	0.5	999733.055213548709	152229.531865257653	7	-3135818.61384961242	6.11909587264768895	253444.044400939776	3.49776052376317958e-09	0.5	999419.34814745246	96456.6858148787724	8	-1460549.71345070913	6.12965272673172912	32884.5523799981092	3.38445690082224602e-09	0.5	996636.309757780167	85666.7430960586062
