generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
MutationRateScaler8	1166	6016	1	0.0188679	0.032378	
RootPopulationSizeScaler8	2322	4932	1	0.0188679	0.0575532	
LeafPopulationSizeScaler8	2276	5008	1	0.0188679	0.0193482	
generation 40000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	7483	0	10	0.188679	none	
ConcentrationScaler	1171	1135	3	0.0566038	1.91192	
TimeSizeRateMixer	9922	21581	6	0.113208	0.0215637	
TimeRootSizeMixer	11052	18882	6	0.113208	0.0345807	
EventTimeScaler	45582	72120	1	0.0188679	0.057571	
MutationRateScaler0	3164	6603	1	0.0188679	0.0378963	
RootPopulationSizeScaler0	3955	5799	1	0.0188679	0.0602047	
LeafPopulationSizeScaler0	4085	5699	1	0.0188679	0.0439332	
MutationRateScaler1	302	9431	1	0.0188679	0.0129863	
RootPopulationSizeScaler1	3124	6592	1	0.0188679	0.0731769	
LeafPopulationSizeScaler1	574	9141	1	0.0188679	0.00758068	
MutationRateScaler2	3059	6675	1	0.0188679	0.0460534	
RootPopulationSizeScaler2	3603	6208	1	0.0188679	0.0705144	
LeafPopulationSizeScaler2	3813	5913	1	0.0188679	0.0561538	
MutationRateScaler3	3319	6438	1	0.0188679	0.0501809	
RootPopulationSizeScaler3	4106	5644	1	0.0188679	0.0686605	
LeafPopulationSizeScaler3	4126	5632	1	0.0188679	0.0628124	
MutationRateScaler4	2036	7721	1	0.0188679	0.0345871	
RootPopulationSizeScaler4	3059	6667	1	0.0188679	0.054821	
LeafPopulationSizeScaler4	2970	6774	1	0.0188679	0.0320429	
MutationRateScaler5	2944	6855	1	0.0188679	0.0440943	
RootPopulationSizeScaler5	3554	6249	1	0.0188679	0.0626503	
LeafPopulationSizeScaler5	4070	5659	1	0.0188679	0.0492804	
MutationRateScaler6	345	9400	1	0.0188679	0.0147053	
RootPopulationSizeScaler6	3285	6480	1	0.0188679	0.0464487	
LeafPopulationSizeScaler6	1056	8721	1	0.0188679	0.00507459	
MutationRateScaler7	19	9772	1	0.0188679	0.009327	
RootPopulationSizeScaler7	3177	6566	1	0.0188679	0.0595862	
LeafPopulationSizeScaler7	61	9708	1	0.0188679	0.00512535	
MutationRateScaler8	1749	7931	1	0.0188679	0.0303326	
RootPopulationSizeScaler8	3220	6533	1	0.0188679	0.056177	
LeafPopulationSizeScaler8	3101	6656	1	0.0188679	0.0187615	
generation 50000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	9402	0	10	0.188679	none	
ConcentrationScaler	1444	1438	3	0.0566038	1.92557	
TimeSizeRateMixer	12137	26329	6	0.113208	0.021048	
TimeRootSizeMixer	13887	23139	6	0.113208	0.0342351	
EventTimeScaler	56354	88832	1	0.0188679	0.0570056	
MutationRateScaler0	4011	8120	1	0.0188679	0.0372012	
RootPopulationSizeScaler0	4976	7161	1	0.0188679	0.0600809	
LeafPopulationSizeScaler0	5102	7050	1	0.0188679	0.0437174	
MutationRateScaler1	398	11734	1	0.0188679	0.0119	
RootPopulationSizeScaler1	3964	8126	1	0.0188679	0.0718852	
LeafPopulationSizeScaler1	767	11329	1	0.0188679	0.00700291	
MutationRateScaler2	3901	8203	1	0.0188679	0.0451606	
RootPopulationSizeScaler2	4477	7704	1	0.0188679	0.0695075	
LeafPopulationSizeScaler2	4794	7296	1	0.0188679	0.0558473	
MutationRateScaler3	4197	7925	1	0.0188679	0.0494303	
RootPopulationSizeScaler3	5093	7041	1	0.0188679	0.068276	
LeafPopulationSizeScaler3	5148	6985	1	0.0188679	0.0627807	
MutationRateScaler4	2647	9478	1	0.0188679	0.0332281	
RootPopulationSizeScaler4	3938	8158	1	0.0188679	0.0539205	
LeafPopulationSizeScaler4	3714	8410	1	0.0188679	0.0312192	
MutationRateScaler5	3739	8424	1	0.0188679	0.0431659	
RootPopulationSizeScaler5	4468	7714	1	0.0188679	0.0618646	
LeafPopulationSizeScaler5	5145	6982	1	0.0188679	0.0492272	
MutationRateScaler6	473	11648	1	0.0188679	0.0135083	
RootPopulationSizeScaler6	4131	7980	1	0.0188679	0.045655	
LeafPopulationSizeScaler6	1388	10759	1	0.0188679	0.00475616	
MutationRateScaler7	27	12137	1	0.0188679	0.0084821	
RootPopulationSizeScaler7	4081	8045	1	0.0188679	0.0587137	
LeafPopulationSizeScaler7	68	12097	1	0.0188679	0.00465638	
MutationRateScaler8	2341	9723	1	0.0188679	0.0290249	
RootPopulationSizeScaler8	4085	8041	1	0.0188679	0.055138	
LeafPopulationSizeScaler8	3982	8155	1	0.0188679	0.0184769	
generation 60000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	11284	0	10	0.188679	none	
ConcentrationScaler	1696	1764	3	0.0566038	1.92594	
TimeSizeRateMixer	14447	31335	6	0.113208	0.0206004	
TimeRootSizeMixer	16769	27558	6	0.113208	0.0339655	
EventTimeScaler	67265	105722	1	0.0188679	0.0565375	
MutationRateScaler0	4904	9689	1	0.0188679	0.0366607	
RootPopulationSizeScaler0	6021	8595	1	0.0188679	0.0598235	
LeafPopulationSizeScaler0	6171	8446	1	0.0188679	0.0435893	
MutationRateScaler1	505	14103	1	0.0188679	0.0110553	
RootPopulationSizeScaler1	4872	9683	1	0.0188679	0.0709219	
LeafPopulationSizeScaler1	981	13591	1	0.0188679	0.00655629	
MutationRateScaler2	4772	9833	1	0.0188679	0.0443436	
RootPopulationSizeScaler2	5447	9204	1	0.0188679	0.0688336	
LeafPopulationSizeScaler2	5816	8738	1	0.0188679	0.0555632	
MutationRateScaler3	5127	9440	1	0.0188679	0.048902	
RootPopulationSizeScaler3	6143	8459	1	0.0188679	0.0681177	
LeafPopulationSizeScaler3	6180	8412	1	0.0188679	0.0625532	
MutationRateScaler4	3286	11298	1	0.0188679	0.0321525	
RootPopulationSizeScaler4	4818	9742	1	0.0188679	0.0530369	
LeafPopulationSizeScaler4	4580	10035	1	0.0188679	0.0307308	
MutationRateScaler5	4583	10039	1	0.0188679	0.0423914	
