generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_Att_bol	ln_likelihood_Att_bol	ln_prior_Att_bol	root_height_Att_bol	mutation_rate_Att_bol	freq_1_Att_bol	pop_size_Att_bol	pop_size_root_Att_bol	root_height_index_Cra_gut	ln_likelihood_Cra_gut	ln_prior_Cra_gut	root_height_Cra_gut	mutation_rate_Cra_gut	freq_1_Cra_gut	pop_size_Cra_gut	pop_size_root_Cra_gut	root_height_index_Cra_vul	ln_likelihood_Cra_vul	ln_prior_Cra_vul	root_height_Cra_vul	mutation_rate_Cra_vul	freq_1_Cra_vul	pop_size_Cra_vul	pop_size_root_Cra_vul	root_height_index_Fur_min	ln_likelihood_Fur_min	ln_prior_Fur_min	root_height_Fur_min	mutation_rate_Fur_min	freq_1_Fur_min	pop_size_Fur_min	pop_size_root_Fur_min	root_height_index_Kni_ore	ln_likelihood_Kni_ore	ln_prior_Kni_ore	root_height_Kni_ore	mutation_rate_Kni_ore	freq_1_Kni_ore	pop_size_Kni_ore	pop_size_root_Kni_ore	root_height_index_Maz_pro	ln_likelihood_Maz_pro	ln_prior_Maz_pro	root_height_Maz_pro	mutation_rate_Maz_pro	freq_1_Maz_pro	pop_size_Maz_pro	pop_size_root_Maz_pro	root_height_index_Myi_fla	ln_likelihood_Myi_fla	ln_prior_Myi_fla	root_height_Myi_fla	mutation_rate_Myi_fla	freq_1_Myi_fla	pop_size_Myi_fla	pop_size_root_Myi_fla	root_height_index_Nas_lon	ln_likelihood_Nas_lon	ln_prior_Nas_lon	root_height_Nas_lon	mutation_rate_Nas_lon	freq_1_Nas_lon	pop_size_Nas_lon	pop_size_root_Nas_lon	root_height_index_Sti_nap	ln_likelihood_Sti_nap	ln_prior_Sti_nap	root_height_Sti_nap	mutation_rate_Sti_nap	freq_1_Sti_nap	pop_size_Sti_nap	pop_size_root_Sti_nap
0	-15133360.4252290297	-81.3833042925308092	9	2.39724795580330019	0	-1095250.50503183668	5.21560859875577698	381292.624777621822	2.50000000000000005e-09	0.5	500000	500000	1	-1535011.9045825589	5.21560859875577698	184232.381895421946	2.50000000000000005e-09	0.5	500000	500000	2	-1508685.4389604656	5.21560859875577698	329393.528005386004	2.50000000000000005e-09	0.5	500000	500000	3	-1398684.45939310617	5.21560859875577698	90753.6222308264405	2.50000000000000005e-09	0.5	500000	500000	4	-1316952.65794194257	5.21560859875577698	407571.048447618086	2.50000000000000005e-09	0.5	500000	500000	5	-1447944.38039024197	5.21560859875577698	464925.249416560924	2.50000000000000005e-09	0.5	500000	500000	6	-2168292.23529636115	5.21560859875577698	53542.2788323657587	2.50000000000000005e-09	0.5	500000	500000	7	-3190903.94973809132	5.21560859875577698	318362.928234167339	2.50000000000000005e-09	0.5	500000	500000	8	-1471634.89389442722	5.21560859875577698	343999.46902804455	2.50000000000000005e-09	0.5	500000	500000
100	-15008350.2386105638	-49.8682620501095712	7	7.38583252346567143	0	-1090243.45885015815	5.74713334382786201	181647.738603298843	1.6338847436579132e-09	0.5	591777.53281955386	277233.130548252724	1	-1527163.05608835071	5.97590742134192965	252398.687947865983	2.48003756487771113e-09	0.5	981391.781773404917	235240.765595358447	2	-1489089.6263162652	5.77060259375893203	40749.3048695940015	1.57341088329648559e-09	0.5	334112.201751738379	148681.936122240848	3	-1383357.07443160494	5.7637724814192719	98858.8455683153734	1.51300573284060102e-09	0.5	313496.30567738181	141648.953556606546	4	-1309272.09458613093	5.87385239204066956	156537.531577860354	1.50249591225735615e-09	0.5	676697.933729318203	231265.718923282548	3	-1433267.3843759771	5.79188424553804282	98858.8455683153734	1.50770627989962735e-09	0.5	390096.668769673619	165293.458666822902	5	-2162125.67157253623	5.77060890720370701	310832.995318437286	2.2128627958472479e-09	0.5	954255.412975643296	424643.364436054137	6	-3151651.93283330835	5.71348316324868222	156328.807713121612	3.30675576362081397e-09	0.5	988495.107807842083	496348.536504645192	3	-1462179.93955623172	5.76506711682096018	98858.8455683153734	1.69052319731838867e-09	0.5	486657.700910824758	219259.481763353979
200	-14990091.0864561591	-49.4559804555830809	7	3.14905955774616908	0	-1089792.70956133609	5.98272918563147016	195571.90077702541	1.82335868342299819e-09	0.5	719906.023483029334	167651.29225338166	1	-1525346.17827321612	6.12092176414346767	213704.107969859819	3.40246174558049475e-09	0.5	986187.186208476312	93378.9429972999496	2	-1488569.67219468718	5.9505135921422152	69887.2855537462892	1.61480424078704283e-09	0.5	373949.817798582371	99132.2294224552315	3	-1383172.13552329317	5.91412236160602056	95597.9106451630796	1.59003161496044112e-09	0.5	338792.121446491801	102141.161870886077	4	-1309064.04724724195	5.96817409880648064	119172.311781588098	1.63277348557474438e-09	0.5	820886.667641101056	203115.682122820115	5	-1432739.88431480876	6.039204260442121	69393.0107000735879	1.7864911903939663e-09	0.5	563852.211470677168	99465.9762711762305	6	-2160385.88563920883	5.91337911915553782	301378.23181399022	2.49210667740676984e-09	0.5	999551.955287820543	302094.067280040181	0	-3139961.89892646903	5.96709499491575102	195571.90077702541	3.39752620835515572e-09	0.5	999672.14775366988	248432.128096763568	2	-1461058.67477589776	5.98729215974986317	69887.2855537462892	1.89341183701343742e-09	0.5	789128.436571840779	180170.994556387188
300	-14983489.3683899827	-37.2220436741233911	6	11.55438542394457	0	-1089763.23646484176	5.9971789762880352	160668.182578432548	1.93175541862482115e-09	0.5	773990.704790162621	169062.497440856969	1	-1525276.5672891615	6.12662637004047284	199695.500751416635	3.4819225152431167e-09	0.5	998553.72714880167	88853.5361336734932	2	-1488151.26458572969	6.09017606667291389	50940.1862712312504	1.69083200189711729e-09	0.5	671351.693630185211	84209.3428501532617	3	-1383038.9229517174	6.04686559440838067	78177.1097469705419	1.83289962774095977e-09	0.5	490671.308113333012	82797.35067811115	3	-1308942.31798133138	6.02375910587092456	78177.1097469705419	1.87425485143111232e-09	0.5	999300.125131234527	191715.222246196936	2	-1432655.36536380835	6.0714467076894767	50940.1862712312504	1.96676449268338661e-09	0.5	710816.193479789887	102472.606652595932	4	-2158955.78905563615	6.05043538159223715	212589.410762368701	3.39445899743527685e-09	0.5	999172.497714355588	165036.535948810313	5	-3136069.13922195975	6.08995722950834484	236016.678217059118	3.49083996966619869e-09	0.5	999672.14775366988	125610.174163769814	2	-1460636.76547579933	6.09497645946567701	50940.1862712312504	2.47755579979532013e-09	0.5	966463.001241179067	116586.499384453404
400	-14983044.5087934956	-59.5509097833463059	8	17.1778613616413942	0	-1089757.99439910217	6.01570062251269277	143004.7169155257	1.91079441867723069e-09	0.5	857749.405617913697	171470.947800786234	1	-1525274.64238303644	6.12713737013613446	201488.217624572688	3.4819225152431167e-09	0.5	999443.729862257722	88422.0147171122226	2	-1488049.36176491342	6.13929931070143553	40329.8393245777988	1.83389370423549571e-09	0.5	976268.173356899177	74498.3292589776829	3	-1383026.62809350598	6.07705915531541585	71369.675285025849	1.78136539725396179e-09	0.5	574706.727978950483	79625.2973029142158	4	-1308899.75092942431	6.05492540138847168	57711.3220393839438	2.2093373981262272e-09	0.5	997562.700718937558	160291.564325883606	5	-1432640.44816593896	6.09392239137836533	45734.2097764635109	1.90183895625680594e-09	0.5	892241.496856138227	108573.483817168744	6	-2158909.21504057478	6.05462493207567398	211915.719344190002	3.48437143510598202e-09	0.5	998750.519736733637	160782.520765877242	7	-3135880.30615662085	6.12066503059799594	254845.187860659498	3.49083996966619869e-09	0.5	999672.14775366988	94912.4406956852035	5	-1460606.16186037916	6.10529046032550937	45734.2097764635109	2.68087739794448466e-09	0.5	975634.826213086373	107630.217815565949
500	-14983010.3780692779	-60.4099851017321541	8	3.2003403723493471	0	-1089758.64648863883	6.00555858531913955	155660.648927714414	1.80352733262421888e-09	0.5	890504.820417949697	187050.549494180799	1	-1525276.78206716897	6.12738365084711489	201479.620999763196	3.49533471619436048e-09	0.5	994388.136806320399	87729.8415707292152	2	-1488042.24426808069	6.1411651470742683	37198.2910760124214	1.88280626049068346e-09	0.5	987983.415091427509	73548.8956234898214	3	-1383015.04781297594	6.09780330540701243	61243.233410700188	1.77021033909318991e-09	0.5	751864.62894860236	88573.6331718505098	4	-1308890.38840595074	6.06347844155513549	55303.8427212499664	2.34212534493554392e-09	0.5	992254.991553283064	150951.907848122355	5	-1432642.3469373507	6.09702636878834703	44997.6596513385302	1.90155898133449731e-09	0.5	898717.10987576691	106571.878998952758	6	-2158908.53752253111	6.05787074509384915	214319.114557962777	3.48340008043384934e-09	0.5	998750.519736733637	157540.76332700692	7	-3135880.25732174888	6.12043283552582018	254949.39621165421	3.49161416266384957e-09	0.5	999450.491195790819	95123.4633101143409	5	-1460596.1272448306	6.10928617762755799	44997.6596513385302	2.71170002247677618e-09	0.5	999957.030327128829	106317.852488563862
600	-14982946.500876544	-58.9568339526357903	8	8.0308813686570808	0	-1089757.98808809719	6.00983377894185011	159424.932063041895	1.80559776263101358e-09	0.5	877006.741270995815	180465.904160638922	1	-1525270.09512318391	6.12712888645397413	195047.751154634228	3.4963224152966831e-09	0.5	999871.653224115493	88468.3562159969733	2	-1488034.99275557138	6.14659420613977936	30317.506493662022	2.12360914279185344e-09	0.5	978417.727476672269	67524.9051865271613	3	-1383015.98149497272	6.09670272496004806	61220.2668210365737	1.81375908034635933e-09	0.5	703934.870655951905	83701.9908906288329	4	-1308882.29988837964	6.07063415104479276	51072.9230465920991	2.45606136456120889e-09	0.5	996082.714737541042	144406.54144353242	5	-1432636.93891567388	6.10785994991535119	40599.8980267728621	2.11933767392752138e-09	0.5	880811.96570626297	94906.299187329525	6	-2158903.83624210116	6.0598342905244813	213017.552144094458	3.49311959952606305e-09	0.5	999917.8340336564	155761.508884728391	7	-3135864.2997690863	6.12305653623878321	258359.828594005463	3.49161416266384957e-09	0.5	999926.963097246946	92545.3028010034177	5	-1460580.06859947671	6.11437783192686268	40599.8980267728621	2.88262277025431984e-09	0.5	995746.311787052429	100800.162709266049
700	-14982879.8566755448	-59.093948678611838	8	6.38587505662263233	0	-1089758.88626486086	6.01637180295519869	141647.525412710384	1.83348641152588185e-09	0.5	911706.629684146843	181645.507608413143	1	-1525268.32428579405	6.12363640509052942	197387.432377441233	3.4963224152966831e-09	0.5	999871.653224115493	91960.3893307187973	2	-1488030.0553747802	6.15107433582678453	29458.375353068408	2.25416958921382099e-09	0.5	967525.861475819023	62438.5683350808831	3	-1383015.98689225875	6.10157105827856228	54500.1968444765298	1.9113093104171655e-09	0.5	710187.524757380481	80988.0386009323411	4	-1308878.05069813784	6.07444318899393032	48278.9500574760241	2.54437638579540135e-09	0.5	999228.61308283289	141056.516611599829	5	-1432634.88863219274	6.11331968226379097	37549.6433532482042	2.29679477051720113e-09	0.5	869916.325434934115	88982.79836742935	6	-2158902.99799852259	6.05829320117146963	215132.692899071233	3.49617207432200904e-09	0.5	999044.815222934121	157165.132311337569	7	-3135819.7087906315	6.11890928971545556	254202.626301658805	3.49589229177260347e-09	0.5	999926.963097246946	96692.2464222907001	5	-1460570.95773836668	6.11878883887065506	37549.6433532482042	3.06253237711763666e-09	0.5	975763.364252110478	94473.1746315878845
800	-14982850.1145799421	-69.6921472887739242	9	10.4316678186879521	0	-1089759.35789012606	6.00891801048459229	136277.104848872346	1.86708683153727107e-09	0.5	890048.862234068569	183964.722925257549	1	-1525268.02643671213	6.12519250479459032	195072.988458090113	3.4979069100808793e-09	0.5	999871.653224115493	90404.4893470395182	2	-1488026.48511244915	6.15647520868542308	27800.0385768823144	2.38074217769620478e-09	0.5	992469.699947657529	58688.0979000123989	3	-1383015.02658307808	6.10361326482542843	57324.4977266234127	1.97319890275984699e-09	0.5	691557.133756378898	77451.1721269605187	4	-1308868.75943736499	6.08442448889491594	41501.890170014718	2.75791124358072031e-09	0.5	999546.293932228	131124.590834221861	5	-1432634.84573993622	6.10842769635482163	36502.5103825337646	2.34811018543507215e-09	0.5	824756.672293801908	88398.1643976593914	6	-2158903.1895294399	6.05690584630748141	214303.380379773444	3.49333881078238726e-09	0.5	999855.087974229362	158679.754510942788	7	-3135819.52239538589	6.11919351589502902	253425.080915251659	3.49589229177260347e-09	0.5	999926.963097246946	96408.0410017163813	8	-1460554.90145545173	6.12473948486596953	33960.1242463004673	3.27072994123092631e-09	0.5	991583.319981352543	90104.2976346180658
900	-14982847.8727069311	-69.8920355363820391	9	20.0799419955602723	0	-1089758.78662748844	6.00482920854465085	157505.229247476673	1.78938204615531343e-09	0.5	871950.656705693575	183789.227714616514	1	-1525266.3325344238	6.12641610841270889	201869.865422101167	3.49800538681552911e-09	0.5	999843.504583793459	89178.532127168859	2	-1488031.15856444556	6.15500226778235238	25202.0612775517329	2.52717783037075973e-09	0.5	892042.104248480871	54063.3990123131516	3	-1383015.44368878752	6.10779359892962148	53602.7416876275092	1.9102141576126857e-09	0.5	750855.246091402019	80953.4582268128288	4	-1308864.62647518842	6.0930306217869461	42003.8178893203294	2.89286789376880741e-09	0.5	986407.926386934007	120911.8880825292	5	-1432635.97621305264	6.11260531705840293	32093.7732191399373	2.5499830914151094e-09	0.5	789168.71248959389	81286.9671993190568	6	-2158904.21332461527	6.05627869269302543	209077.179627699661	3.49929772396663283e-09	0.5	998152.4464341118	159035.535526653111	7	-3135819.55373414885	6.11916260610723839	254516.2469224417	3.49945674050261912e-09	0.5	998908.465468038223	96340.718517093439	8	-1460551.78154477919	6.12513110466853128	31372.4224324333991	3.44370008922121214e-09	0.5	984016.397627544007	89031.3377980989462
