generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_Att_bol	ln_likelihood_Att_bol	ln_prior_Att_bol	root_height_Att_bol	mutation_rate_Att_bol	freq_1_Att_bol	pop_size_Att_bol	pop_size_root_Att_bol	root_height_index_Cra_gut	ln_likelihood_Cra_gut	ln_prior_Cra_gut	root_height_Cra_gut	mutation_rate_Cra_gut	freq_1_Cra_gut	pop_size_Cra_gut	pop_size_root_Cra_gut	root_height_index_Cra_vul	ln_likelihood_Cra_vul	ln_prior_Cra_vul	root_height_Cra_vul	mutation_rate_Cra_vul	freq_1_Cra_vul	pop_size_Cra_vul	pop_size_root_Cra_vul	root_height_index_Fur_min	ln_likelihood_Fur_min	ln_prior_Fur_min	root_height_Fur_min	mutation_rate_Fur_min	freq_1_Fur_min	pop_size_Fur_min	pop_size_root_Fur_min	root_height_index_Kni_ore	ln_likelihood_Kni_ore	ln_prior_Kni_ore	root_height_Kni_ore	mutation_rate_Kni_ore	freq_1_Kni_ore	pop_size_Kni_ore	pop_size_root_Kni_ore	root_height_index_Maz_pro	ln_likelihood_Maz_pro	ln_prior_Maz_pro	root_height_Maz_pro	mutation_rate_Maz_pro	freq_1_Maz_pro	pop_size_Maz_pro	pop_size_root_Maz_pro	root_height_index_Myi_fla	ln_likelihood_Myi_fla	ln_prior_Myi_fla	root_height_Myi_fla	mutation_rate_Myi_fla	freq_1_Myi_fla	pop_size_Myi_fla	pop_size_root_Myi_fla	root_height_index_Nas_lon	ln_likelihood_Nas_lon	ln_prior_Nas_lon	root_height_Nas_lon	mutation_rate_Nas_lon	freq_1_Nas_lon	pop_size_Nas_lon	pop_size_root_Nas_lon	root_height_index_Sti_nap	ln_likelihood_Sti_nap	ln_prior_Sti_nap	root_height_Sti_nap	mutation_rate_Sti_nap	freq_1_Sti_nap	pop_size_Sti_nap	pop_size_root_Sti_nap
1000	-14982888.6882660724	-51.0815597338286125	7	28.3658013914123934	0	-1089758.50423595891	6.01035775253451199	135467.909450664039	2.15433988129297357e-09	0.5	740823.652330528595	152054.681541569415	1	-1525267.84722848469	6.12668837240572373	201155.262057340209	3.49497352346787897e-09	0.5	999634.795653147856	88887.7522968665726	2	-1488035.80493309023	6.1482461522892482	31344.0090851239802	2.2309742449827268e-09	0.5	943913.397382691153	63584.3157002310763	3	-1383014.71875329805	6.10008757496715859	51876.625043722699	2.09056679825426754e-09	0.5	651026.718299210072	75207.273011669211	4	-1308862.13857534644	6.09429031467606563	40285.5819264110032	2.96213570822608842e-09	0.5	993139.578994427808	120485.989575251428	3	-1432640.8394472634	6.0920645281341681	51876.625043722699	1.84440950167353971e-09	0.5	879658.567957484978	108676.60024264305	5	-2158903.58370000543	6.05520477527295853	207328.451825252792	3.49863419301627998e-09	0.5	999585.639504432678	160337.358475028333	6	-3135857.75458882796	6.12097973060357425	257198.902628631506	3.49356512535171809e-09	0.5	999520.454105928424	94583.48926702053	2	-1460547.49680379871	6.12763781739256608	31344.0090851239802	3.46503790789107972e-09	0.5	986504.272772088181	86783.5516939059016
1100	-14982878.3005216699	-48.1750959461657757	7	10.5709723238905724	0	-1089758.60171005898	6.00784720895755875	123219.869091906396	2.12957302865991506e-09	0.5	764029.729622097453	158735.878473444231	1	-1525268.27600765903	6.12416091846956157	199642.080231530999	3.4964175010367723e-09	0.5	999634.795653147856	91414.2831958654133	2	-1488033.70089342352	6.14714847919703722	30641.9422090270346	2.18286826140338226e-09	0.5	957753.346596194315	65567.9086157587008	3	-1383015.89357707952	6.09980309379410279	51729.8586174584052	2.10780645971784904e-09	0.5	621601.84381830832	71984.9154084867769	4	-1308864.72701510601	6.09486215553890709	37402.3999287454208	2.92518745799414426e-09	0.5	999063.278856527642	120633.337470508894	3	-1432639.38813995244	6.09300175379713771	51729.8586174584052	1.79686499548363095e-09	0.5	922149.457611037651	113061.835578009472	5	-2158901.84774985444	6.05653681085884443	213053.034893663105	3.49863419301627998e-09	0.5	999400.607404188369	158976.441445064673	6	-3135850.64599871216	6.11806347282959706	252079.139699852793	3.49356512535171809e-09	0.5	999763.065150265698	97522.0140864263522	2	-1460545.21942982334	6.13038381841499636	30641.9422090270346	3.49127685300818353e-09	0.5	991778.234741928405	84524.0822026475944
1200	-14982853.9715111684	-48.3721340747556496	7	3.21824300733538982	0	-1089760.84151905659	6.0143643216411018	123710.845353174518	2.04616480060578714e-09	0.5	844888.215923877549	170028.91825630868	1	-1525266.5628719239	6.12678354195885966	203307.535839686549	3.49944776752336183e-09	0.5	999634.795653147856	88792.6175000662188	2	-1488033.93356500613	6.1480179894888991	30921.0812771718774	2.19181846402813482e-09	0.5	935163.708396524657	63208.2848147944751	3	-1383015.08236044482	6.10204888976793569	52674.1898306949952	2.01507739347574654e-09	0.5	675200.152481224504	76675.5328243135446	4	-1308860.27107822779	6.09538180940812957	37514.4277293677223	2.97571606850862583e-09	0.5	999063.278856527642	120114.170372053326	3	-1432638.645239793	6.09994026418801383	52674.1898306949952	1.78161161071167988e-09	0.5	963320.120908393525	111425.634041089317	5	-2158901.75452848431	6.05941011031949905	215238.349919969769	3.49863419301627998e-09	0.5	999334.914532162598	156094.603091520024	6	-3135830.37170132436	6.11775027219550616	254624.979302336695	3.49946603124041483e-09	0.5	998655.139324564254	97726.7207451154973	2	-1460546.50864690659	6.12802761084544301	30921.0812771718774	3.4796845839470005e-09	0.5	997351.228379693814	87349.0058750792668
1300	-14982847.3152459636	-59.0736848165375577	8	6.29142571450820753	0	-1089759.85335770738	6.01286874989650499	152858.661007744668	1.9013596082480218e-09	0.5	857641.206127782934	173878.048505830695	1	-1525270.97230621893	6.12753432702324119	206927.198342402728	3.49489355331323142e-09	0.5	999634.795653147856	88042.1066256525373	2	-1488028.87388989516	6.15349577946218673	28328.017976197305	2.29753911248984288e-09	0.5	974174.248521426693	60508.709058879962	3	-1383015.37513739802	6.10659154709596308	48661.5674308197267	2.27137108361715539e-09	0.5	637307.843347939779	69477.4220814670407	4	-1308859.70499312296	6.09665042613330499	36098.8249683940667	3.05006495096003909e-09	0.5	987057.983125774772	117418.613945065503	3	-1432636.0332587664	6.10295653520419279	48661.5674308197267	1.86085449775210115e-09	0.5	971716.474647771567	109465.866056141298	5	-2158903.61619714275	6.0600799297821677	211080.364471298148	3.49667193342537663e-09	0.5	999833.654832241242	155502.797531077231	6	-3135828.09281182708	6.12098337740039788	254077.66076983884	3.49946603124041483e-09	0.5	998655.139324564254	94497.9636162742536	7	-1460544.79329388496	6.1304410115077097	31605.4329958343369	3.48817705593500408e-09	0.5	998999.102726234938	85082.3432421782491
1400	-14982843.5540988259	-58.8803184084357198	8	8.68860332229169785	0	-1089759.02006144077	6.01235892905649116	129528.667445425919	1.98659776732554758e-09	0.5	833122.514660620247	169331.875923808868	1	-1525269.62489694473	6.12338118760323624	198661.311543257849	3.49489355331323142e-09	0.5	999634.795653147856	92193.7293010882131	2	-1488028.55440837331	6.15732544933356607	27596.3415302655267	2.43149997970408238e-09	0.5	958371.350117185037	55856.9006008457	3	-1383016.018946992	6.10387511682379724	50553.5532237472216	2.27120299985188576e-09	0.5	608285.835729366867	67965.8944359464222	4	-1308856.88060073508	6.10099508159840553	36750.7747606407647	3.12114970270781092e-09	0.5	985019.324035978178	112896.529195740644	3	-1432636.41318934457	6.10254378083347504	50553.5532237472216	1.80852626582675872e-09	0.5	996698.951697303681	112691.58549700414	5	-2158903.62100886181	6.05744477524214631	208473.113052615459	3.49667193342537663e-09	0.5	999833.654832241242	158137.513725875528	6	-3135828.15982291009	6.120309603030476	255975.687354056427	3.49946603124041483e-09	0.5	998655.139324564254	95170.831853540687	7	-1460545.26116322307	6.13215160779566304	31695.0694984965594	3.48817705593500408e-09	0.5	998999.102726234938	83373.459085384442
1500	-14982816.7007250208	-59.1534251731536216	8	5.89934929313824163	0	-1089758.55452923244	6.01564569611768185	144117.154729903821	1.99588740514797283e-09	0.5	803110.610920096864	160592.328899036103	1	-1525268.38326791581	6.12499365354205771	200615.184727647924	3.49414994819844236e-09	0.5	999899.066590599832	90605.7991383564367	2	-1488026.38345177146	6.15586463861841082	24954.0872556284339	2.526425398579329e-09	0.5	952971.184136253898	56934.2724370943615	3	-1383016.00283639645	6.09562940218124361	46892.618252650529	2.42105849483816163e-09	0.5	521042.744959227683	62514.289921197982	4	-1308855.72665393236	6.10346197785159816	31349.3143262575941	3.35630737863612917e-09	0.5	965028.08558800735	108224.638876323952	3	-1432636.68673742842	6.10079203440458606	46892.618252650529	1.87109595617021878e-09	0.5	976128.950211412972	112075.772427009812	5	-2158901.32720767567	6.0573138018440158	215266.242602429382	3.49910478611030816e-09	0.5	999833.654832241242	158268.465337213187	6	-3135802.6579761398	6.12099660888161345	256582.506402036466	3.49946603124041483e-09	0.5	999363.17586033151	94551.7386751090526	7	-1460550.97806452913	6.12808160470459029	32620.1371617544028	3.46259546375849948e-09	0.5	994945.115137670538	87084.5551739122602
1600	-14982804.9040314741	-48.3449061086587903	7	12.1781421507888457	0	-1089757.59072553576	6.01145725110408335	136823.952173601807	2.02906060075909311e-09	0.5	800274.962968403706	163377.212181908428	1	-1525268.16394368815	6.12739138954542994	203004.870459972066	3.49414994819844236e-09	0.5	999899.066590599832	88208.3051466532343	2	-1488026.16597308777	6.15570404886248923	25141.8452250874107	2.58462627738651331e-09	0.5	918959.376869636471	55049.847841591516	3	-1383014.23892237269	6.1045540254716002	42692.2021395234988	2.55521652499154324e-09	0.5	548089.84456220991	60867.8838092474325	4	-1308850.85507573723	6.10830653791436085	32139.9422720409311	3.45518024661936178e-09	0.5	971275.225908657536	104219.833384210564	3	-1432635.78875502548	6.10522147743055221	42692.2021395234988	1.98780472220460346e-09	0.5	954396.985721552046	105353.135855274406	5	-2158901.92856272683	6.06146129772010056	216585.429741052649	3.49910478611030816e-09	0.5	999833.654832241242	154121.65937702579	6	-3135803.23907007044	6.12129512693817013	258003.536804556206	3.49946603124041483e-09	0.5	999363.17586033151	94253.4107220581209	4	-1460546.93300322909	6.12902028263561327	32139.9422720409311	3.44960531238858869e-09	0.5	998364.681850008084	86446.7166752343473
1700	-14982821.4754043389	-48.4665327448609133	7	12.9085039539506479	0	-1089759.94517822936	6.01051929108568572	142215.788673839736	2.10374702190580744e-09	0.5	757388.923512183479	155332.369960108947	1	-1525271.65992056392	6.12747575362001307	207628.618952668097	3.49414994819844236e-09	0.5	999899.066590599832	88123.949587223382	2	-1488027.91569027631	6.15567057987539989	25906.5035488251197	2.49102075888369704e-09	0.5	984863.414508219692	59030.761933386013	3	-1383019.01596313692	6.09033659735321997	43172.4096790716649	2.48309441577839296e-09	0.5	527298.827438787557	66055.7794504784542	4	-1308855.34619087214	6.11042002168015053	31662.5348111362073	3.39094691455497163e-09	0.5	976197.335074811825	102684.808621538425	3	-1432634.94368046615	6.10884568060640731	43172.4096790716649	2.01814774432772994e-09	0.5	961780.411948883091	102682.483398565106	5	-2158903.59635579027	6.05751236747476085	208593.370365415176	3.4965895661573194e-09	0.5	999833.654832241242	158069.932736901974	6	-3135802.48232759628	6.1213464752625697	255606.986466121947	3.49946603124041483e-09	0.5	999363.17586033151	94202.095097509562	4	-1460546.57009740686	6.12925054663209856	31662.5348111362073	3.46237817850794479e-09	0.5	988722.134481412359	85384.1176253801823
1800	-14982816.3573013023	-48.9735882339830084	7	16.0951932809145788	0	-1089758.91804593895	6.00535378996033664	133210.805110351212	2.15972283633993744e-09	0.5	717900.381024609669	150942.007346503233	1	-1525268.10117608914	6.12680808109090158	198923.813752754388	3.49414994819844236e-09	0.5	999899.066590599832	88791.554725870199	2	-1488025.10172892362	6.15827985651105436	24542.2628600265052	2.55515656302607367e-09	0.5	968304.53452858841	55511.6810743850147	3	-1383016.59870706871	6.09930299005168308	41581.115727320248	2.43925987494874962e-09	0.5	568676.317602009629	66140.2452743043832	4	-1308851.60853919876	6.10702290717248886	31389.9695968597116	3.49018007211197051e-09	0.5	960309.052335608052	104275.822581554487	3	-1432639.06896401476	6.10500605586070044	41581.115727320248	2.01931587696204919e-09	0.5	969272.891954621067	107204.046609445984	5	-2158907.27509664558	6.05582830656520166	214115.747123777779	3.49124416537368864e-09	0.5	997701.25778416777	159412.998487658537	6	-3135804.49473026348	6.12248889889375114	252705.203824640397	3.49946603124041483e-09	0.5	999363.17586033151	93060.3989892756217	4	-1460545.19031315809	6.13006128561035979	31389.9695968597116	3.4701380672943266e-09	0.5	995692.000325994333	85178.7753482743283
1900	-14982809.2159928493	-59.0055452038023063	8	6.54735800427237891	0	-1089758.58383662836	6.0189162756370429	132485.654798007308	2.08140508061403701e-09	0.5	794414.048210004927	156255.144660583755	1	-1525268.29004133306	6.1278193850747531	199792.505575513642	3.49414994819844236e-09	0.5	999899.066590599832	87780.3528163776355	2	-1488027.03455603728	6.15536467357021166	26531.4959955643099	2.41277974694945007e-09	0.5	966344.312265921733	58216.3744516454681	3	-1383014.10658080317	6.11295518247430358	47444.0122350844249	2.25381725600845875e-09	0.5	664023.727039903169	68164.3040726028121	4	-1308849.25103030214	6.11104149413226594	30970.7949073573618	3.47260124186053922e-09	0.5	987744.21722176706	103285.552903496922	5	-1432636.85013866099	6.11058735422118637	41003.8788903754394	2.10719199530679171e-09	0.5	957802.327287193737	100589.592429828786	6	-2158905.58260373864	6.05682074506689005	213810.666006718209	3.49124416537368864e-09	0.5	998625.531823258731	158569.604837138759	7	-3135804.70807662373	6.11775033881089136	253927.608146006096	3.49946603124041483e-09	0.5	999363.17586033151	97795.9414426864387	4	-1460544.80912872171	6.12980103800943965	30970.7949073573618	3.49769669640506625e-09	0.5	990710.613084107987	85010.4611142560898
