generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1853	0	10	0.188679	none	
ConcentrationScaler	275	293	3	0.0566038	1.88453	
TimeSizeRateMixer	2669	5622	6	0.113208	0.0264569	
TimeRootSizeMixer	2938	5461	6	0.113208	0.0358751	
EventTimeScaler	11030	20561	1	0.0188679	0.068453	
MutationRateScaler0	591	1879	1	0.0188679	0.0474909	
RootPopulationSizeScaler0	952	1511	1	0.0188679	0.0646616	
LeafPopulationSizeScaler0	934	1528	1	0.0188679	0.0464598	
MutationRateScaler1	52	2385	1	0.0188679	0.0220572	
RootPopulationSizeScaler1	698	1756	1	0.0188679	0.0840286	
LeafPopulationSizeScaler1	134	2332	1	0.0188679	0.00896421	
MutationRateScaler2	656	1804	1	0.0188679	0.0495664	
RootPopulationSizeScaler2	934	1503	1	0.0188679	0.0655103	
LeafPopulationSizeScaler2	990	1461	1	0.0188679	0.0587595	
MutationRateScaler3	786	1701	1	0.0188679	0.0517215	
RootPopulationSizeScaler3	957	1473	1	0.0188679	0.0710484	
LeafPopulationSizeScaler3	993	1427	1	0.0188679	0.0648917	
MutationRateScaler4	430	2030	1	0.0188679	0.0451816	
RootPopulationSizeScaler4	822	1628	1	0.0188679	0.0533147	
LeafPopulationSizeScaler4	774	1691	1	0.0188679	0.030773	
MutationRateScaler5	574	1874	1	0.0188679	0.0506689	
RootPopulationSizeScaler5	755	1724	1	0.0188679	0.0670794	
LeafPopulationSizeScaler5	870	1592	1	0.0188679	0.05506	
MutationRateScaler6	65	2384	1	0.0188679	0.0277869	
RootPopulationSizeScaler6	768	1687	1	0.0188679	0.0486206	
LeafPopulationSizeScaler6	141	2305	1	0.0188679	0.0094369	
MutationRateScaler7	12	2458	1	0.0188679	0.0210757	
RootPopulationSizeScaler7	767	1678	1	0.0188679	0.061736	
LeafPopulationSizeScaler7	24	2432	1	0.0188679	0.00717435	
MutationRateScaler8	336	2130	1	0.0188679	0.0387826	
RootPopulationSizeScaler8	824	1644	1	0.0188679	0.0549931	
LeafPopulationSizeScaler8	540	1904	1	0.0188679	0.0281803	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3729	0	10	0.188679	none	
ConcentrationScaler	518	600	3	0.0566038	1.90423	
TimeSizeRateMixer	5143	10945	6	0.113208	0.0243365	
TimeRootSizeMixer	5959	10270	6	0.113208	0.0346689	
EventTimeScaler	21984	39570	1	0.0188679	0.0651172	
MutationRateScaler0	1345	3570	1	0.0188679	0.0431393	
RootPopulationSizeScaler0	1931	2998	1	0.0188679	0.0627652	
LeafPopulationSizeScaler0	1901	3001	1	0.0188679	0.0450367	
MutationRateScaler1	131	4785	1	0.0188679	0.016528	
RootPopulationSizeScaler1	1532	3369	1	0.0188679	0.0781953	
LeafPopulationSizeScaler1	309	4614	1	0.0188679	0.00695647	
MutationRateScaler2	1465	3440	1	0.0188679	0.0459253	
RootPopulationSizeScaler2	1893	2997	1	0.0188679	0.0636739	
LeafPopulationSizeScaler2	1951	2928	1	0.0188679	0.0567535	
MutationRateScaler3	1725	3186	1	0.0188679	0.0497551	
RootPopulationSizeScaler3	1987	2898	1	0.0188679	0.0701568	
LeafPopulationSizeScaler3	2009	2868	1	0.0188679	0.0640454	
MutationRateScaler4	944	3978	1	0.0188679	0.0384195	
RootPopulationSizeScaler4	1718	3190	1	0.0188679	0.0505258	
LeafPopulationSizeScaler4	1725	3189	1	0.0188679	0.0295611	
MutationRateScaler5	1354	3539	1	0.0188679	0.0463773	
RootPopulationSizeScaler5	1619	3292	1	0.0188679	0.0633871	
LeafPopulationSizeScaler5	1843	3093	1	0.0188679	0.0534572	
MutationRateScaler6	131	4776	1	0.0188679	0.0208256	
RootPopulationSizeScaler6	1648	3255	1	0.0188679	0.0459734	
LeafPopulationSizeScaler6	335	4585	1	0.0188679	0.0073259	
MutationRateScaler7	14	4894	1	0.0188679	0.0155649	
RootPopulationSizeScaler7	1670	3242	1	0.0188679	0.0586966	
LeafPopulationSizeScaler7	38	4870	1	0.0188679	0.00529981	
MutationRateScaler8	788	4127	1	0.0188679	0.0326133	
RootPopulationSizeScaler8	1731	3171	1	0.0188679	0.0525287	
LeafPopulationSizeScaler8	1183	3717	1	0.0188679	0.0248082	
generation 30000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	5621	0	10	0.188679	none	
ConcentrationScaler	814	917	3	0.0566038	1.9483	
TimeSizeRateMixer	7088	15954	6	0.113208	0.0229697	
TimeRootSizeMixer	8604	14372	6	0.113208	0.0341614	
EventTimeScaler	31123	56727	1	0.0188679	0.0629831	
MutationRateScaler0	2103	5255	1	0.0188679	0.0409965	
RootPopulationSizeScaler0	2909	4477	1	0.0188679	0.0618019	
LeafPopulationSizeScaler0	2839	4519	1	0.0188679	0.0440976	
MutationRateScaler1	224	7161	1	0.0188679	0.0140189	
RootPopulationSizeScaler1	2346	4978	1	0.0188679	0.0749948	
LeafPopulationSizeScaler1	538	6807	1	0.0188679	0.00605234	
MutationRateScaler2	2308	5040	1	0.0188679	0.044181	
RootPopulationSizeScaler2	2915	4416	1	0.0188679	0.0629983	
LeafPopulationSizeScaler2	2957	4362	1	0.0188679	0.0560777	
MutationRateScaler3	2588	4760	1	0.0188679	0.0481709	
RootPopulationSizeScaler3	2998	4313	1	0.0188679	0.0693346	
LeafPopulationSizeScaler3	3049	4256	1	0.0188679	0.0636957	
MutationRateScaler4	1521	5836	1	0.0188679	0.03538	
RootPopulationSizeScaler4	2639	4690	1	0.0188679	0.0494203	
LeafPopulationSizeScaler4	2668	4677	1	0.0188679	0.0287921	
MutationRateScaler5	2162	5166	1	0.0188679	0.0445087	
RootPopulationSizeScaler5	2580	4786	1	0.0188679	0.0618647	
LeafPopulationSizeScaler5	2786	4572	1	0.0188679	0.0526291	
MutationRateScaler6	215	7121	1	0.0188679	0.0176831	
RootPopulationSizeScaler6	2532	4806	1	0.0188679	0.0445685	
LeafPopulationSizeScaler6	612	6716	1	0.0188679	0.00642326	
MutationRateScaler7	14	7324	1	0.0188679	0.0130381	
RootPopulationSizeScaler7	2568	4752	1	0.0188679	0.0571881	
LeafPopulationSizeScaler7	55	7302	1	0.0188679	0.00444424	
MutationRateScaler8	1278	6084	1	0.0188679	0.0295879	
RootPopulationSizeScaler8	2677	4667	1	0.0188679	0.0512213	
LeafPopulationSizeScaler8	1873	5487	1	0.0188679	0.0232945	
generation 40000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	7548	0	10	0.188679	none	
ConcentrationScaler	1082	1221	3	0.0566038	1.96398	
TimeSizeRateMixer	9093	21065	6	0.113208	0.021974	
TimeRootSizeMixer	11289	18194	6	0.113208	0.0338506	
EventTimeScaler	40551	73742	1	0.0188679	0.0615743	
MutationRateScaler0	2960	6876	1	0.0188679	0.0397928	
RootPopulationSizeScaler0	3926	5930	1	0.0188679	0.0613443	
LeafPopulationSizeScaler0	3812	6009	1	0.0188679	0.0434281	
MutationRateScaler1	342	9497	1	0.0188679	0.0125184	
RootPopulationSizeScaler1	3233	6536	1	0.0188679	0.0734055	
LeafPopulationSizeScaler1	788	9018	1	0.0188679	0.00548689	
MutationRateScaler2	3187	6636	1	0.0188679	0.0430558	
RootPopulationSizeScaler2	3986	5779	1	0.0188679	0.062799	
LeafPopulationSizeScaler2	4049	5730	1	0.0188679	0.056165	
MutationRateScaler3	3533	6263	1	0.0188679	0.0474077	
RootPopulationSizeScaler3	4045	5714	1	0.0188679	0.069079	
LeafPopulationSizeScaler3	4124	5645	1	0.0188679	0.0634819	
MutationRateScaler4	2135	7676	1	0.0188679	0.0335049	
RootPopulationSizeScaler4	3595	6209	1	0.0188679	0.0486173	
LeafPopulationSizeScaler4	3625	6177	1	0.0188679	0.0283506	
MutationRateScaler5	3019	6757	1	0.0188679	0.0433348	
RootPopulationSizeScaler5	3495	6333	1	0.0188679	0.0607227	
LeafPopulationSizeScaler5	3806	6008	1	0.0188679	0.0521845	
MutationRateScaler6	313	9460	1	0.0188679	0.0157653	
RootPopulationSizeScaler6	3470	6304	1	0.0188679	0.0438185	
LeafPopulationSizeScaler6	893	8894	1	0.0188679	0.00584466	
MutationRateScaler7	25	9760	1	0.0188679	0.0114952	
RootPopulationSizeScaler7	3513	6239	1	0.0188679	0.0563229	
LeafPopulationSizeScaler7	77	9712	1	0.0188679	0.00392727	
MutationRateScaler8	1825	7974	1	0.0188679	0.0278491	
RootPopulationSizeScaler8	3653	6148	1	0.0188679	0.0504452	
LeafPopulationSizeScaler8	2666	7154	1	0.0188679	0.0224643	
generation 50000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	9439	0	10	0.188679	none	
ConcentrationScaler	1341	1530	3	0.0566038	1.97219	
TimeSizeRateMixer	11110	26168	6	0.113208	0.0212587	
TimeRootSizeMixer	14127	22392	6	0.113208	0.0336364	
EventTimeScaler	50204	90966	1	0.0188679	0.0605243	
MutationRateScaler0	3756	8585	1	0.0188679	0.0387783	
RootPopulationSizeScaler0	4984	7401	1	0.0188679	0.0609838	
LeafPopulationSizeScaler0	4863	7476	1	0.0188679	0.0432351	
MutationRateScaler1	470	11918	1	0.0188679	0.0114399	
RootPopulationSizeScaler1	4162	8125	1	0.0188679	0.0721943	
LeafPopulationSizeScaler1	1082	11261	1	0.0188679	0.00509392	
MutationRateScaler2	4166	8179	1	0.0188679	0.0423854	
RootPopulationSizeScaler2	5026	7239	1	0.0188679	0.0624724	
LeafPopulationSizeScaler2	5089	7234	1	0.0188679	0.0558278	
MutationRateScaler3	4523	7806	1	0.0188679	0.0468872	
RootPopulationSizeScaler3	5093	7176	1	0.0188679	0.0687995	
LeafPopulationSizeScaler3	5228	7065	1	0.0188679	0.0633665	
MutationRateScaler4	2777	9542	1	0.0188679	0.0320984	
RootPopulationSizeScaler4	4602	7734	1	0.0188679	0.0481372	
LeafPopulationSizeScaler4	4545	7801	1	0.0188679	0.0278735	
MutationRateScaler5	3924	8361	1	0.0188679	0.0424445	
RootPopulationSizeScaler5	4444	7883	1	0.0188679	0.0598997	
LeafPopulationSizeScaler5	4828	7501	1	0.0188679	0.0519088	
MutationRateScaler6	419	11897	1	0.0188679	0.0143753	
RootPopulationSizeScaler6	4434	7851	1	0.0188679	0.0432609	
LeafPopulationSizeScaler6	1208	11092	1	0.0188679	0.00543898	
MutationRateScaler7	29	12272	1	0.0188679	0.0103958	
RootPopulationSizeScaler7	4495	7771	1	0.0188679	0.0556212	
LeafPopulationSizeScaler7	90	12197	1	0.0188679	0.00355728	
MutationRateScaler8	2448	9895	1	0.0188679	0.0266147	
RootPopulationSizeScaler8	4621	7700	1	0.0188679	0.0498673	
LeafPopulationSizeScaler8	3440	8897	1	0.0188679	0.0218023	
generation 60000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	11313	0	10	0.188679	none	
ConcentrationScaler	1582	1818	3	0.0566038	1.97972	
TimeSizeRateMixer	13010	30903	6	0.113208	0.0207467	
TimeRootSizeMixer	17043	26647	6	0.113208	0.0334501	
EventTimeScaler	59909	107627	1	0.0188679	0.0597801	
MutationRateScaler0	4623	10165	1	0.0188679	0.038114	
RootPopulationSizeScaler0	5970	8833	1	0.0188679	0.0607051	
LeafPopulationSizeScaler0	5922	8850	1	0.0188679	0.0431984	
MutationRateScaler1	612	14202	1	0.0188679	0.0106803	
RootPopulationSizeScaler1	5088	9628	1	0.0188679	0.0714678	
LeafPopulationSizeScaler1	1351	13431	1	0.0188679	0.00480305	
MutationRateScaler2	5089	9709	1	0.0188679	0.0419296	
RootPopulationSizeScaler2	6065	8637	1	0.0188679	0.0622912	
LeafPopulationSizeScaler2	6075	8672	1	0.0188679	0.0555007	
MutationRateScaler3	5469	9294	1	0.0188679	0.0465088	
RootPopulationSizeScaler3	6120	8614	1	0.0188679	0.0685139	
LeafPopulationSizeScaler3	6285	8449	1	0.0188679	0.0633218	
MutationRateScaler4	3451	11317	1	0.0188679	0.031153	
RootPopulationSizeScaler4	5572	9221	1	0.0188679	0.047703	
LeafPopulationSizeScaler4	5516	9284	1	0.0188679	0.0276427	
MutationRateScaler5	4810	9908	1	0.0188679	0.0418131	
RootPopulationSizeScaler5	5394	9362	1	0.0188679	0.0593546	
LeafPopulationSizeScaler5	5837	8932	1	0.0188679	0.0516634	
MutationRateScaler6	538	14208	1	0.0188679	0.0133974	
RootPopulationSizeScaler6	5384	9343	1	0.0188679	0.0428293	
LeafPopulationSizeScaler6	1568	13176	1	0.0188679	0.00515827	
MutationRateScaler7	43	14695	1	0.0188679	0.00961015	
RootPopulationSizeScaler7	5481	9226	1	0.0188679	0.0551458	
LeafPopulationSizeScaler7	110	14616	1	0.0188679	0.00328917	
MutationRateScaler8	3129	11667	1	0.0188679	0.0258499	
RootPopulationSizeScaler8	5573	9177	1	0.0188679	0.0494903	
LeafPopulationSizeScaler8	4212	10552	1	0.0188679	0.0213236	
generation 70000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	13227	0	10	0.188679	none	
ConcentrationScaler	1858	2129	3	0.0566038	1.99148	
TimeSizeRateMixer	15074	35865	6	0.113208	0.0202907	
TimeRootSizeMixer	19841	30765	6	0.113208	0.0332787	
EventTimeScaler	69623	124559	1	0.0188679	0.0591347	
MutationRateScaler0	5439	11813	1	0.0188679	0.0374811	
RootPopulationSizeScaler0	6974	10288	1	0.0188679	0.0604662	
LeafPopulationSizeScaler0	6975	10258	1	0.0188679	0.0431213	
MutationRateScaler1	725	16590	1	0.0188679	0.0100516	
RootPopulationSizeScaler1	6027	11182	1	0.0188679	0.0707525	
LeafPopulationSizeScaler1	1636	15603	1	0.0188679	0.00456978	
MutationRateScaler2	6015	11254	1	0.0188679	0.0414918	
RootPopulationSizeScaler2	7117	10061	1	0.0188679	0.0621385	
LeafPopulationSizeScaler2	7148	10060	1	0.0188679	0.0554547	
MutationRateScaler3	6454	10791	1	0.0188679	0.0461976	
RootPopulationSizeScaler3	7188	10023	1	0.0188679	0.0684082	
LeafPopulationSizeScaler3	7331	9871	1	0.0188679	0.0631545	
MutationRateScaler4	4153	13112	1	0.0188679	0.0303783	
RootPopulationSizeScaler4	6525	10714	1	0.0188679	0.0473806	
LeafPopulationSizeScaler4	6529	10755	1	0.0188679	0.0274923	
MutationRateScaler5	5672	11522	1	0.0188679	0.0411906	
RootPopulationSizeScaler5	6385	10858	1	0.0188679	0.0588873	
LeafPopulationSizeScaler5	6905	10352	1	0.0188679	0.0515629	
MutationRateScaler6	668	16583	1	0.0188679	0.0126049	
RootPopulationSizeScaler6	6328	10882	1	0.0188679	0.0424252	
LeafPopulationSizeScaler6	1900	15305	1	0.0188679	0.00492393	
MutationRateScaler7	52	17170	1	0.0188679	0.0089769	
RootPopulationSizeScaler7	6438	10742	1	0.0188679	0.054637	
LeafPopulationSizeScaler7	126	17087	1	0.0188679	0.00307412	
MutationRateScaler8	3759	13517	1	0.0188679	0.0251279	
RootPopulationSizeScaler8	6586	10644	1	0.0188679	0.0491914	
LeafPopulationSizeScaler8	4983	12246	1	0.0188679	0.0209452	
generation 80000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	15139	0	10	0.188679	none	
ConcentrationScaler	2101	2415	3	0.0566038	1.99696	
TimeSizeRateMixer	17338	40880	6	0.113208	0.0199463	
TimeRootSizeMixer	22819	35090	6	0.113208	0.0331488	
EventTimeScaler	80300	141680	1	0.0188679	0.0586981	
MutationRateScaler0	6297	13470	1	0.0188679	0.0369974	
RootPopulationSizeScaler0	8046	11718	1	0.0188679	0.060358	
LeafPopulationSizeScaler0	8013	11713	1	0.0188679	0.043043	
